id,ESR number,ST,Source,Year,date
SGV002,ERL051890,516,Human clinical,2005,24/05/2005
SGV003,ERL054204,516,Human clinical,2005,8/11/2005
SGV004,ERL052963,654,Bovine,2005,23/08/2005
SGV005,ERL061223,516,Human clinical,2006,24/03/2006
SGV006,ERL062795,516,Human clinical,2006,23/07/2006
SGV007,ERL063762,516,Human clinical,2006,20/09/2006
SGV008,ERL063415,516,Human clinical,2006,29/08/2006
SGV009,ERL063916,516,Human clinical,2006,6/10/2006
SGV010,ERL064256,516,Human clinical,2006,6/11/2006
SGV011,ERL072255,516,Human clinical,2007,26/07/2007
SGV012,ERL073170,516,Human clinical,2007,2/10/2007
SGV013,ERL084104,516,Human clinical,2008,3/11/2008
SGV014,ERL092174,516,Human clinical,2009,11/07/2009
SGV016,ERL10349,516,Human clinical,2010,6/06/2010
SGV017,ERL11652,516,Human clinical,2011,20/02/2011
SGV018,H12ESR01010,2227,Human clinical,2012,1/08/2012
SGV019,H12ESR03447,516,Poultry,2012,17/09/2012
SGV020,17ER0716,516,Human clinical,2017,1/03/2017
SGV021,19ER1365,654,Bovine - Faeces,2019,25/03/2019
SGV022,19ER3158,654,Bovine - Faeces,2019,16/08/2019
SGV023,19ER1126,654,Bovine - Faeces,2019,6/03/2019
SGV025,19ER3075,654,Bovine - Faeces,2019,11/08/2019
SGV026,19ER3366,654,Bovine - Faeces,2019,27/08/2019
SGV027,19ER3536,0,Calf,2019,6/09/2019
SGV028,19ER4151,654,Bovine - Faeces,2019,6/10/2019
SGV029,19ER4196,654,Bovine - Faeces,2019,8/10/2019
SGV030,20ER1407,654,Bovine - Faeces,2020,15/05/2020
SGV031,20ER3761,654,Bovine - Faeces,2020,10/11/2020
SGV032,20ER3645,654,Human clinical,2020,4/11/2020
SGV033,20ER1753,654,Human clinical,2020,17/06/2020
SGV034,20ER3712,654,Human clinical,2020,11/11/2020
SGV035,20ER1420,654,Feline,2020,15/04/2020
SGV036,20ER1421,654,Bovine - Faeces,2020,9/04/2020
SGV037,20ER1410,654,Bovine - Faeces,2020,4/05/2020
SGV038,20ER1480,654,Bovine - Faeces,2020,22/05/2020
SGV039,20ER1496,654,Canine,2020,2/02/2020
SGV040,20ER1716,654,Bovine - Faeces,2020,9/06/2020
SGV041,20ER2181,654,Bovine - Faeces,2020,29/07/2020
SGV042,20ER2814,654,Bovine - Faeces,2020,31/08/2020
SGV043,20ER2830,654,Bovine - Faeces,2020,7/09/2020
SGV044,20ER3227,654,Bovine - Faeces,2020,25/09/2020
SGV045,20ER3567,654,Canine,2020,30/10/2020
SGV046,20ER4113,654,Bovine - Faeces,2020,14/12/2020
SGV047,21ER3675,654,Bovine - Faeces,2021,7/10/2021
SGV048,21ER0924,654,Bovine - Faeces,2021,17/03/2021
SGV049,21ER0433,654,Human clinical,2021,5/02/2021
SGV050,21ER1931,654,Human clinical,2021,1/06/2021
SGV051,21ER1304,654,Bovine - Faeces,2021,12/04/2021
SGV052,21ER1303,654,Canine,2021,13/04/2021
SGV053,21ER1463,654,Bovine - Faeces,2021,27/04/2021
SGV054,20ER2039,654,Canine,2020,16/07/2020
SGV055,21ER2278,654,Bovine - Faeces,2021,30/06/2021
SGV056,21ER2724,654,Canine,2021,2/08/2021
SGV057,21ER2726,654,Bovine - Faeces,2021,30/07/2021
SGV058,21ER2811,654,Canine - faeces,2021,13/08/2021
SGV059,21ER3097,654,Bovine - Faeces,2021,24/08/2021
SGV060,21ER3588,654,Bovine - Faeces,2021,29/09/2021
SGV061,21ER3740,654,Canine,2021,8/10/2021
SGV062,21ER3795,654,Bovine - Faeces,2021,14/10/2021
SGV063,21ER3991,654,Ovine,2021,1/11/2021
SGV064,21ER4053,654,Bovine - Faeces,2021,5/11/2021
SGV065,21ER4133,654,Canine,2021,11/11/2021
SGV066,22ER0601,654,Human clinical,2022,8/02/2022
Reference,22ER0601,0,Human clinical,2022,8/02/2022
SGV067,22ER0604,654,Bovine,2022,10/02/2022
SGV068,22ER1132,654,Canine,2022,11/03/2022
SGV069,22ER1624,654,Bovine,2022,27/04/2022
SGV070,22ER1654,654,Canine,2022,27/04/2022
SGV071,22ER1714,654,Human clinical,2022,3/05/2022
SGV072,22ER2190,654,Feline,2022,22/06/2022
SGV073,22ER2261,654,Canine,2022,27/06/2022
SGV074,22ER2332,684,Human clinical,2022,10/07/2022
SGV075,22ER2511,654,Calves,2022,22/07/2022
SGV077,22ER3063,654,Canine,2022,30/08/2022
SGV078,22ER3142,654,Bovine - Faeces,2022,7/09/2022
SGV079,22ER3456,654,Canine,2022,28/09/2022
SGV080,22ER4065,654,Equine,2022,15/11/2022
SGV081,22ER3966,0,Bovine,2022,8/11/2022
SGV082,22ER4425,0,Bovine,2022,12/12/2022
