ID,ST377,ST8346,ST1499,ST2640
IncFIB|cluster_0,1,0,0,0
IncFIB|cluster_1,1,1,0,0
IncFIB|cluster_10,1,0,0,0
IncFIB|cluster_11,1,0,0,0
IncFIB|cluster_12,1,0,0,0
IncFIB|cluster_13,1,0,0,0
IncFIB|cluster_14,0,0,1,0
IncFIB|cluster_2,1,0,0,1
IncFIB|cluster_3,1,0,0,0
IncFIB|cluster_4,1,0,0,0
IncFIB|cluster_5,1,0,0,0
IncFIB|cluster_6,1,0,0,0
IncFIB|cluster_7,1,0,0,0
IncFIB|cluster_8,1,0,0,0
IncFIB|cluster_9,1,0,0,0
IncHI2A|cluster_0,1,0,0,0
IncI|cluster_0,1,0,0,0
IncI|cluster_1,1,0,0,0
IncI|cluster_10,1,0,0,0
IncI|cluster_11,1,0,0,0
IncI|cluster_12,1,0,0,0
IncI|cluster_13,1,0,0,0
IncI|cluster_14,1,0,0,0
IncI|cluster_2,1,0,0,0
IncI|cluster_3,1,0,0,0
IncI|cluster_4,1,0,0,0
IncI|cluster_5,1,0,0,0
IncI|cluster_6,1,0,0,0
IncI|cluster_7,1,0,0,0
IncI|cluster_8,1,0,0,0
IncI|cluster_9,1,0,0,0
IncK2/Z|cluster_0,1,0,0,0
IncK2/Z|cluster_1,1,0,0,0
IncN|cluster_0,1,0,0,0
IncN|cluster_1,1,0,0,0
IncN|cluster_2,1,0,0,0
IncN|cluster_3,1,0,0,0
IncX1|cluster_0,0,1,0,0
IncX4|cluster_0,1,0,0,0
IncX4|cluster_1,1,0,0,0
rep_1760|cluster_0,1,0,0,0
rep_1760|cluster_1,1,0,0,0
