ID,Length
IncFIB|cluster_0,93847
IncFIB|cluster_1,93702
IncFIB|cluster_1,93674
IncFIB|cluster_1,93711
IncFIB|cluster_1,93727
IncFIB|cluster_1,93817
IncFIB|cluster_1,93698
IncFIB|cluster_1,93698
IncFIB|cluster_1,93693
IncFIB|cluster_1,93828
IncFIB|cluster_1,93705
IncFIB|cluster_1,93704
IncFIB|cluster_1,93719
IncFIB|cluster_1,93699
IncFIB|cluster_1,93715
IncFIB|cluster_1,93710
IncFIB|cluster_1,93687
IncFIB|cluster_1,93704
IncFIB|cluster_1,93695
IncFIB|cluster_1,93694
IncFIB|cluster_1,93701
IncFIB|cluster_1,93703
IncFIB|cluster_1,93700
IncFIB|cluster_1,93702
IncFIB|cluster_1,93703
IncFIB|cluster_1,93695
IncFIB|cluster_1,93711
IncFIB|cluster_1,93695
IncFIB|cluster_1,93692
IncFIB|cluster_1,93694
IncFIB|cluster_1,93700
IncFIB|cluster_1,93710
IncFIB|cluster_1,93711
IncFIB|cluster_1,93666
IncFIB|cluster_1,93701
IncFIB|cluster_1,93707
IncFIB|cluster_1,93696
IncFIB|cluster_1,93383
IncFIB|cluster_1,93709
IncFIB|cluster_1,93675
IncFIB|cluster_1,93707
IncFIB|cluster_1,93680
IncFIB|cluster_1,93700
IncFIB|cluster_1,93700
IncFIB|cluster_1,93696
IncFIB|cluster_1,93693
IncFIB|cluster_1,93699
IncFIB|cluster_1,93703
IncFIB|cluster_1,93705
IncFIB|cluster_1,93702
IncFIB|cluster_1,93702
IncFIB|cluster_1,93697
IncFIB|cluster_1,93699
IncFIB|cluster_1,93701
IncFIB|cluster_1,93699
IncFIB|cluster_1,93687
IncFIB|cluster_1,93706
IncFIB|cluster_1,93703
IncFIB|cluster_1,93699
IncFIB|cluster_1,93709
IncFIB|cluster_1,93728
IncFIB|cluster_1,93693
IncFIB|cluster_1,93706
IncFIB|cluster_1,93710
IncFIB|cluster_1,93706
IncFIB|cluster_1,93699
IncFIB|cluster_1,93695
IncFIB|cluster_1,93697
IncFIB|cluster_1,93706
IncFIB|cluster_1,93711
IncFIB|cluster_1,93683
IncFIB|cluster_1,93709
IncFIB|cluster_1,93694
IncFIB|cluster_1,93698
IncFIB|cluster_1,93710
IncFIB|cluster_1,93709
IncFIB|cluster_1,93709
IncFIB|cluster_1,93694
IncFIB|cluster_1,93693
IncFIB|cluster_1,92818
IncFIB|cluster_1,93705
IncFIB|cluster_1,93704
IncFIB|cluster_1,93701
IncFIB|cluster_1,93702
IncFIB|cluster_1,93701
IncFIB|cluster_1,93696
IncFIB|cluster_1,93708
IncFIB|cluster_1,93698
IncFIB|cluster_1,93698
IncFIB|cluster_1,93712
IncFIB|cluster_1,93694
IncFIB|cluster_1,93666
IncFIB|cluster_1,93698
IncFIB|cluster_1,93703
IncFIB|cluster_1,93709
IncFIB|cluster_1,93704
IncFIB|cluster_1,93698
IncFIB|cluster_1,93708
IncFIB|cluster_1,93710
IncFIB|cluster_1,93712
IncFIB|cluster_1,93695
IncFIB|cluster_1,93707
IncFIB|cluster_1,93707
IncFIB|cluster_1,93695
IncFIB|cluster_1,93709
IncFIB|cluster_1,93690
IncFIB|cluster_1,93693
IncFIB|cluster_1,93711
IncFIB|cluster_1,93702
IncFIB|cluster_1,93702
IncFIB|cluster_1,93702
IncFIB|cluster_1,93705
IncFIB|cluster_1,93706
IncFIB|cluster_1,93709
IncFIB|cluster_1,93704
IncFIB|cluster_1,93695
IncFIB|cluster_1,93699
IncFIB|cluster_1,93684
IncFIB|cluster_1,93698
IncFIB|cluster_1,93699
IncFIB|cluster_1,93699
