ID,Circularisable
SGV004_ST654_p1,1
SGV004_ST654_p2,1
SGV004_ST654_p3,1
SGV004_ST654_p4,1
SGV006_ST516_p1,0
SGV006_ST516_p2,1
SGV006_ST516_p3,1
SGV008_ST516,1
SGV011_ST516,1
SGV012_ST516,1
SGV016_ST516,0
SGV018_ST2227_p1,1
SGV018_ST2227_p2,1
SGV019_ST516,1
SGV020_ST516,1
SGV022_ST654,1
SGV025_ST654,1
SGV029_ST654_p1,0
SGV029_ST654_p2,0
SGV032_ST654,1
SGV033_ST654,1
SGV046_ST654,1
SGV048_ST654,1
SGV064_ST654,1
SGV068_ST654,1
SGV080_ST654,1
SGV081_STunknown_p1,1
SGV081_STunknown_p2,1
SGV082_STunknown_p1,1
SGV082_STunknown_p2,1
