ID,Unknown,Col156,"IncFIC,IncFII","IncFIC,IncFII,IncI1",IncFII,IncI2,IncI-gamma/K1,IncQ1,IncX1,rep1778,rep2335,rep2350,rep2350/2370,rep435
SGV004_ST654_p1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SGV004_ST654_p2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SGV004_ST654_p3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SGV004_ST654_p4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SGV006_ST516_p1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SGV006_ST516_p2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SGV006_ST516_p3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SGV008_ST516,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SGV011_ST516,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SGV012_ST516,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SGV016_ST516,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SGV018_ST2227_p1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SGV018_ST2227_p2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SGV019_ST516,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SGV020_ST516,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SGV022_ST654,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGV025_ST654,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SGV029_ST654_p1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SGV029_ST654_p2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
SGV032_ST654,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SGV033_ST654,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SGV046_ST654,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SGV048_ST654,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SGV064_ST654,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SGV068_ST654,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SGV080_ST654,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SGV081_STunknown_p1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SGV081_STunknown_p2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SGV082_STunknown_p1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SGV082_STunknown_p2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
