Old,New
SGV064_medaka_91648,SGV064_ST654
SGV081_medaka_87335,SGV081_STunknown_p2
SGV025_medaka_87876,SGV025_ST654
SGV032_medaka_87875,SGV032_ST654
SGV029_contig_12_139_173,SGV029_ST654_p2
SGV004_medaka_86929,SGV004_ST654_p2
SGV082_medaka_91836,SGV082_STunknown_p2
SGV033_medaka_88406,SGV033_ST654
SGV012_medaka_92601,SGV012_ST516
SGV081_medaka_92612,SGV081_STunknown_p1
SGV004_medaka_12138,SGV004_ST654_p4
SGV004_medaka_3827,SGV004_ST654_p1
SGV006_contig_2_3,SGV006_ST516_p1
SGV006_medaka_14653,SGV006_ST516_p3
SGV008_medaka_11016,SGV008_ST516
SGV011_medaka_9339,SGV011_ST516
SGV016_medaka_3376,SGV016_ST516
SGV018_medaka_10635,SGV018_ST2227_p1
SGV018_medaka_5292,SGV018_ST2227_p2
SGV020_medaka_30868,SGV020_ST516
SGV022_medaka_4662,SGV022_ST654
SGV029_medaka_6920,SGV029_ST654_p1
SGV068_medaka_37097,SGV068_ST654
SGV004_medaka_58058,SGV004_ST654_p3
SGV080_medaka_58071,SGV080_ST654
SGV046_medaka_55749,SGV046_ST654
SGV048_medaka_55953,SGV048_ST654
SGV019_medaka_87080,SGV019_ST516
SGV082_medaka_87075,SGV082_STunknown_p1
SGV006_medaka_147078,SGV006_ST516_p2
