id,id1,ST,Source_simplified,Year,ESR number,date
SBV001_plate05,SBV001,1499,Human,2003,ERL03602,3/02/2003
SBV002_plate01,SBV002,1499,Human,2011,ERL112385,18/07/2011
SBV003_plate01,SBV003,1499,Human,2013,13ER4639,30/07/2013
SBV004_plate01,SBV004,1499,Human,2014,14ER0017,6/06/2014
SBV005_plate01,SBV005,377,Human,2004,ERL043647,15/11/2004
Reference_SBV005,SBV005,377,Human,2004,ERL043647,15/11/2004
SBV006_plate01,SBV006,1499,Human,2004,ERL04906,18/03/2004
SBV007_plate01,SBV007,377,Bovine,2015,15ER2926,2/09/2015
SBV008_plate01,SBV008,1499,Human,2012,H12ESR01325,7/08/2012
SBV009_plate01,SBV009,1499,Human,2006,ERL061342,31/03/2006
SBV010_plate01,SBV010,377,Porcine,2007,ERL073269,6/06/2007
SBV011_plate01,SBV011,377,Human,2008,ERL083120,27/08/2008
SBV012_plate01,SBV012,1499,Human,2008,ERL083229,5/09/2008
SBV013_plate01,SBV013,1499,Human,2009,ERL091973,5/06/2009
SBV014_plate01,SBV014,1499,Human,2009,ERL093854,21/11/2009
SBV015_plate01,SBV015,1499,Human,2010,ERL101086,27/03/2010
SBV016_plate01,SBV016,8346,Human,2010,ERL10350,8/01/2010
SBV017_plate01,SBV017,1058,Human,2011,ERL111506,30/04/2011
SBV018_plate01,SBV018,1499,Human,2011,ERL112385,18/07/2011
SBV019_plate01,SBV019,377,Bovine,2011,ERL114022,18/11/2011
SBV020_plate01,SBV020,1499,Human,2012,ERL121419,27/04/2012
SBV021_plate01,SBV021,377,Human,2012,ERL12317,18/01/2012
SBV022_plate01,SBV022,377,Human,2012,ERL12624,15/02/2012
SBV023_plate01,SBV023,377,Bovine,2016,16ER3657,4/10/2016
SBV024_plate01,SBV024,377,Equine,2012,H12ESR00377,18/07/2012
SBV025_plate01,SBV025,377,Bovine,2012,H12ESR03823,11/10/2012
SBV026_plate01,SBV026,2640,Human,2013,13ER5068,19/08/2013
SBV027_plate01,SBV027,377,Human,2013,H13ESR02347,11/04/2013
SBV028_plate01,SBV028,1499,Human,2013,H13ESR03230,8/05/2013
SBV029_plate01,SBV029,377,Bovine,2013,13ER4997,19/08/2013
SBV030_plate01,SBV030,377,Human,2014,14ER0508,3/02/2014
SBV031_plate01,SBV031,1499,Human,2014,14ER1869,24/06/2014
SBV032_plate01,SBV032,377,Canine,2014,14ER1685,3/06/2014
SBV033_plate01,SBV033,377,Feline,2014,14ER1691,6/06/2014
SBV035_plate01,SBV035,377,Human,2015,15ER0095,31/12/2014
SBV036_plate01,SBV036,377,Human,2015,15ER0178,1/01/2015
SBV037_plate01,SBV037,377,Human,2015,15ER0194,10/01/2015
SBV038_plate01,SBV038,377,Human,2015,15ER0637,12/02/2015
SBV039_plate01,SBV039,377,Human,2015,15ER1435,21/04/2015
SBV040_plate03,SBV040,377,Human,2015,15ER1503,4/05/2015
SBV041_plate01,SBV041,377,Human,2015,15ER1806,8/06/2015
SBV042_plate01,SBV042,377,Human,2015,15ER3144,14/09/2015
SBV043_plate01,SBV043,377,Bovine,2015,15ER1053,18/03/2015
SBV044_plate01,SBV044,377,Bovine,2015,15ER1470,28/04/2015
SBV045_plate01,SBV045,377,Bovine,2015,15ER1565,8/05/2015
SBV046_plate01,SBV046,377,Bovine,2015,15ER1653,18/05/2015
SBV047_plate01,SBV047,377,Bovine,2015,15ER1696,20/05/2015
SBV048_plate01,SBV048,377,Bovine,2015,15ER1562,4/05/2015
SBV049_plate01,SBV049,377,Bovine,2015,15ER1667,18/05/2015
SBV050_plate01,SBV050,377,Bovine,2015,15ER1954,29/06/2015
SBV051_plate01,SBV051,377,Bovine,2015,15ER1780,5/06/2015
SBV052_plate01,SBV052,377,Bovine,2015,15ER1969,2/07/2015
SBV053_plate01,SBV053,377,UI Animal,2015,15ER2131,21/07/2015
SBV054_plate01,SBV054,377,Bovine,2015,15ER2462,10/08/2015
SBV055_plate01,SBV055,377,Bovine,2015,15ER2539,14/08/2015
SBV056_plate01,SBV056,-,Bovine,2015,15ER2640,20/08/2015
SBV057_plate01,SBV057,377,Canine,2015,15ER2642,20/08/2015
SBV058_plate01,SBV058,377,Bovine,2015,15ER2773,27/08/2015
SBV059_plate01,SBV059,377,Bovine,2015,15ER1955,29/06/2015
SBV060_plate01,SBV060,377,Bovine,2015,15ER2921,4/09/2015
SBV061_plate01,SBV061,377,Bovine,2015,15ER2335,2/08/2015
