ID,Source
SGV021,Bovine
SGV022,Bovine
SGV023,Bovine
SGV025,Bovine
SGV026,Bovine
SGV028,Bovine
SGV031,Bovine
SGV032,Human
SGV033,Human
SGV034,Human
SGV035,Feline
SGV036,Bovine
SGV037,Bovine
SGV038,Bovine
SGV039,Canine
SGV040,Bovine
SGV041,Bovine
SGV042,Bovine
SGV043,Bovine
SGV044,Bovine
SGV045,Canine
SGV046,Bovine
SGV047,Bovine
SGV048,Bovine
SGV049,Human
SGV050,Human
SGV051,Bovine
SGV052,Canine
SGV053,Bovine
SGV054,Canine
SGV055,Bovine
SGV056,Canine
SGV057,Bovine
SGV058,Canine
SGV059,Bovine
SGV060,Bovine
SGV061,Canine
SGV062,Bovine
SGV063,Ovine
SGV064,Bovine
SGV065,Canine
SGV066,Human
SGV067,Bovine
SGV068,Canine
SGV069,Bovine
SGV070,Canine
SGV071,Human
SGV072,Feline
SGV073,Canine
SGV075,Bovine
SGV077,Canine
SGV078,Bovine
SGV079,Canine
SGV080,Equine
