"Date","week_num","A","B","C","D","E","F","G","H"
"15/11/2004",47,1,0,0,0,0,0,0,0
"22/11/2004",48,0,0,0,0,0,0,0,0
"29/11/2004",49,0,0,0,0,0,0,0,0
"06/12/2004",50,0,0,0,0,0,0,0,0
"13/12/2004",51,0,0,0,0,0,0,0,0
"20/12/2004",52,0,0,0,0,0,0,0,0
"27/12/2004",53,0,0,0,0,0,0,0,0
"03/01/2005",54,0,0,0,0,0,0,0,0
"10/01/2005",55,0,0,0,0,0,0,0,0
"17/01/2005",56,0,0,0,0,0,0,0,0
"24/01/2005",57,0,0,0,0,0,0,0,0
"31/01/2005",58,0,0,0,0,0,0,0,0
"07/02/2005",59,0,0,0,0,0,0,0,0
"14/02/2005",60,0,0,0,0,0,0,0,0
"21/02/2005",61,0,0,0,0,0,0,0,0
"28/02/2005",62,0,0,0,0,0,0,0,0
"07/03/2005",63,0,0,0,0,0,0,0,0
"14/03/2005",64,0,0,0,0,0,0,0,0
"21/03/2005",65,0,0,0,0,0,0,0,0
"28/03/2005",66,0,0,0,0,0,0,0,0
"04/04/2005",67,0,0,0,0,0,0,0,0
"11/04/2005",68,0,0,0,0,0,0,0,0
"18/04/2005",69,0,0,0,0,0,0,0,0
"25/04/2005",70,0,0,0,0,0,0,0,0
"02/05/2005",71,0,0,0,0,0,0,0,0
"09/05/2005",72,0,0,0,0,0,0,0,0
"16/05/2005",73,0,0,0,0,0,0,0,0
"23/05/2005",74,0,0,0,0,0,0,0,0
"30/05/2005",75,0,0,0,0,0,0,0,0
"06/06/2005",76,0,0,0,0,0,0,0,0
"13/06/2005",77,0,0,0,0,0,0,0,0
"20/06/2005",78,0,0,0,0,0,0,0,0
"27/06/2005",79,0,0,0,0,0,0,0,0
"04/07/2005",80,0,0,0,0,0,0,0,0
"11/07/2005",81,0,0,0,0,0,0,0,0
"18/07/2005",82,0,0,0,0,0,0,0,0
"25/07/2005",83,0,0,0,0,0,0,0,0
"01/08/2005",84,0,0,0,0,0,0,0,0
"08/08/2005",85,0,0,0,0,0,0,0,0
"15/08/2005",86,0,0,0,0,0,0,0,0
"22/08/2005",87,0,0,0,0,0,0,0,0
"29/08/2005",88,0,0,0,0,0,0,0,0
"05/09/2005",89,0,0,0,0,0,0,0,0
"12/09/2005",90,0,0,0,0,0,0,0,0
"19/09/2005",91,0,0,0,0,0,0,0,0
"26/09/2005",92,0,0,0,0,0,0,0,0
"03/10/2005",93,0,0,0,0,0,0,0,0
"10/10/2005",94,0,0,0,0,0,0,0,0
"17/10/2005",95,0,0,0,0,0,0,0,0
"24/10/2005",96,0,0,0,0,0,0,0,0
"31/10/2005",97,0,0,0,0,0,0,0,0
"07/11/2005",98,0,0,0,0,0,0,0,0
"14/11/2005",99,0,0,0,0,0,0,0,0
"21/11/2005",100,0,0,0,0,0,0,0,0
