label,ID,Source,Year,date,ESR number,Clades,Clades_B,tetA,other_AMR_genes,IncF,mobilisable_plasmids,other_conjugative,line
SBV005_plate01|2004.87158469945,SBV005,Human,2004,15/11/2004,ERL043647,A,A,0,0,1,1,0,1
SBV007_plate01|2015.66849315068,SBV007,Bovine,2015,2/09/2015,15ER2926,B,D,0,0,1,1,0,1
SBV010_plate01|2007.42739726027,SBV010,Porcine,2007,6/06/2007,ERL073269,A,A,0,0,1,0,0,1
SBV011_plate01|2008.65300546448,SBV011,Human,2008,27/08/2008,ERL083120,A,A,0,0,1,0,0,1
SBV019_plate01|2011.87945205479,SBV019,Bovine,2011,18/11/2011,ERL114022,A,B,0,0,1,0,0,1
SBV021_plate01|2012.04644808743,SBV021,Human,2012,18/01/2012,ERL12317,A,A,0,0,1,0,0,1
SBV022_plate01|2012.12295081967,SBV022,Human,2012,15/02/2012,ERL12624,B,E,0,0,1,1,0,1
SBV023_plate01|2016.75683060109,SBV023,Bovine,2016,4/10/2016,16ER3657,C,H,0,0,1,1,0,1
SBV024_plate01|2012.54371584699,SBV024,Equine,2012,18/07/2012,H12ESR00377,A,B,0,0,1,0,0,1
SBV025_plate01|2012.77595628415,SBV025,Bovine,2012,11/10/2012,H12ESR03823,B,E,0,0,1,1,1,1
SBV027_plate01|2013.27397260274,SBV027,Human,2013,11/04/2013,H13ESR02347,B,E,0,0,1,1,0,1
SBV029_plate01|2013.6301369863,SBV029,Bovine,2013,19/08/2013,13ER4997,A,C,0,0,1,0,0,1
SBV030_plate01|2014.0904109589,SBV030,Human,2014,3/02/2014,14ER0508,B,E,0,0,1,2,0,1
SBV032_plate01|2014.41917808219,SBV032,Canine,2014,3/06/2014,14ER1685,A,C,0,0,1,0,0,1
SBV033_plate01|2014.42739726027,SBV033,Feline,2014,6/06/2014,14ER1691,B,E,0,0,1,1,0,1
SBV035_plate01|2014.99726027397,SBV035,Human,2015,31/12/2014,15ER0095,B,D,0,0,1,1,0,1
SBV036_plate01|2015,SBV036,Human,2015,1/01/2015,15ER0178,B,D,0,0,1,1,0,1
SBV037_plate01|2015.02465753425,SBV037,Human,2015,10/01/2015,15ER0194,B,E,0,0,1,1,0,1
SBV038_plate01|2015.11506849315,SBV038,Human,2015,12/02/2015,15ER0637,B,D,1,1,1,1,1,1
SBV039_plate01|2015.30136986301,SBV039,Human,2015,21/04/2015,15ER1435,C,H,0,0,1,1,0,1
SBV040_plate03|2015.33698630137,SBV040,Human,2015,4/05/2015,15ER1503,B,D,0,0,1,1,0,1
SBV041_plate01|2015.43287671233,SBV041,Human,2015,8/06/2015,15ER1806,C,H,0,0,1,1,0,1
SBV042_plate01|2015.70136986301,SBV042,Human,2015,14/09/2015,15ER3144,B,D,0,0,1,1,0,1
SBV043_plate01|2015.20821917808,SBV043,Bovine,2015,18/03/2015,15ER1053,C,H,0,0,1,1,0,1
SBV044_plate01|2015.32054794521,SBV044,Bovine,2015,28/04/2015,15ER1470,C,H,0,0,1,1,0,1
SBV045_plate01|2015.34794520548,SBV045,Bovine,2015,8/05/2015,15ER1565,C,H,0,0,1,0,0,1
SBV046_plate01|2015.37534246575,SBV046,Bovine,2015,18/05/2015,15ER1653,C,H,0,0,1,1,0,1
SBV047_plate01|2015.38082191781,SBV047,Bovine,2015,20/05/2015,15ER1696,C,H,0,0,1,1,0,1
SBV048_plate01|2015.33698630137,SBV048,Bovine,2015,4/05/2015,15ER1562,C,H,0,0,1,1,0,1
SBV049_plate01|2015.37534246575,SBV049,Bovine,2015,18/05/2015,15ER1667,C,H,0,0,1,1,0,1
SBV050_plate01|2015.4904109589,SBV050,Bovine,2015,29/06/2015,15ER1954,C,H,0,0,1,1,0,1
SBV051_plate01|2015.42465753425,SBV051,Bovine,2015,5/06/2015,15ER1780,C,H,0,0,1,1,0,1
SBV052_plate01|2015.49863013699,SBV052,Bovine,2015,2/07/2015,15ER1969,C,H,0,0,1,1,0,1
SBV053_plate01|2015.55068493151,SBV053,UI_Animal,2015,21/07/2015,15ER2131,B,E,0,0,1,1,1,1
SBV054_plate01|2015.60547945205,SBV054,Bovine,2015,10/08/2015,15ER2462,B,D,0,0,1,1,0,1
SBV055_plate01|2015.61643835616,SBV055,Bovine,2015,14/08/2015,15ER2539,C,H,0,0,1,1,0,1
SBV057_plate01|2015.63287671233,SBV057,Canine,2015,20/08/2015,15ER2642,B,E,0,0,1,2,0,1
SBV058_plate01|2015.65205479452,SBV058,Bovine,2015,27/08/2015,15ER2773,B,D,0,0,1,1,0,1
SBV059_plate01|2015.4904109589,SBV059,Bovine,2015,29/06/2015,15ER1955,C,H,0,0,1,1,0,1
SBV060_plate01|2015.67397260274,SBV060,Bovine,2015,4/09/2015,15ER2921,B,E,0,0,1,0,0,1
SBV061_plate01|2015.58356164384,SBV061,Bovine,2015,2/08/2015,15ER2335,B,D,0,0,1,0,0,1
SBV062_plate01|2015.7095890411,SBV062,Bovine,2015,17/09/2015,15ER3176,B,D,0,0,1,0,0,1
SBV063_plate01|2015.71506849315,SBV063,Feline,2015,19/09/2015,15ER3246,C,H,0,0,1,1,0,1
SBV064_plate01|2015.72602739726,SBV064,Bovine,2015,23/09/2015,15ER3291,B,D,0,0,1,1,0,1
SBV065_plate03|2015.74246575342,SBV065,Bovine,2015,29/09/2015,15ER3387,B,D,0,0,1,1,1,1
SBV067_plate01|2015.78904109589,SBV067,Bovine,2015,16/10/2015,15ER3630,C,H,0,0,1,1,0,1
SBV068_plate01|2015.80547945205,SBV068,Bovine,2015,22/10/2015,15ER3684,B,D,0,0,1,1,0,1
SBV069_plate01|2015.87945205479,SBV069,Bovine,2015,18/11/2015,15ER4007,C,H,0,0,1,1,0,1
SBV070_plate01|2015.91780821918,SBV070,Bovine,2015,2/12/2015,15ER4153,B,D,0,0,1,0,0,1
SBV071_plate01|2015.95616438356,SBV071,Bovine,2015,16/12/2015,15ER4284,C,H,0,0,1,1,0,1
SBV072_plate02|2016.02732240437,SBV072,Human,2016,11/01/2016,16ER0179,B,E,0,0,1,1,0,1
SBV073_plate03|2016.06557377049,SBV073,Human,2016,25/01/2016,16ER0429,B,D,0,0,1,1,0,1
SBV074_plate03|2016.08469945355,SBV074,Human,2016,1/02/2016,16ER0489,B,D,0,0,1,1,0,1
SBV075_plate02|2016.19398907104,SBV075,Human,2016,12/03/2016,16ER1009,C,H,0,0,1,1,0,1
SBV076_plate02|2016.71584699454,SBV076,Human,2016,19/09/2016,16ER3470,C,H,0,0,1,1,0,1
SBV077_plate02|2016.31967213115,SBV077,Human,2016,27/04/2016,16ER1661,C,H,0,0,1,1,2,1
SBV078_plate02|2016.42349726776,SBV078,Human,2016,4/06/2016,16ER2052,B,D,0,0,1,1,0,1
SBV079_plate02|2016.45628415301,SBV079,Human,2016,16/06/2016,16ER2129,C,H,0,0,1,1,0,1
SBV080_plate02|2016.42896174863,SBV080,Human,2016,6/06/2016,16ER2296,B,D,0,0,1,1,0,1
SBV081_plate02|2016.62568306011,SBV081,Human,2016,17/08/2016,16ER3158,C,H,0,0,1,1,0,1
SBV082_plate02|2016.74590163934,SBV082,Human,2016,30/09/2016,16ER3613,C,H,0,0,1,3,0,1
SBV083_plate02|2016.77595628415,SBV083,Human,2016,11/10/2016,16ER3769,C,H,0,0,1,1,0,1
SBV084_plate02|2016.03825136612,SBV084,Bovine,2016,15/01/2016,16ER0183,C,H,0,0,1,1,0,1
SBV085_plate03|2016.03551912568,SBV085,Bovine,2016,14/01/2016,16ER0184,C,H,0,0,1,1,0,1
SBV087_plate02|2016.12295081967,SBV087,Feline,2016,15/02/2016,16ER0737,C,H,0,0,1,0,0,1
SBV088_plate02|2016.25956284153,SBV088,Bovine,2016,5/04/2016,16ER1373,B,D,0,0,1,2,0,1
SBV089_plate02|2016.28415300546,SBV089,Bovine,2016,14/04/2016,16ER1568,C,H,0,0,1,0,0,1
SBV090_plate02|2016.30601092896,SBV090,Bovine,2016,22/04/2016,16ER1625,B,E,0,0,1,0,1,1
SBV091_plate02|2016.34153005464,SBV091,Bovine,2016,5/05/2016,16ER1748,B,D,0,0,1,1,0,1
SBV092_plate02|2016.33879781421,SBV092,Bovine,2016,4/05/2016,16ER1714,B,E,0,0,1,0,0,1
SBV093_plate02|2016.42896174863,SBV093,Canine,2016,6/06/2016,16ER0676,B,D,0,0,1,1,0,1
SBV094_plate02|2016.45081967213,SBV094,Bovine,2016,14/06/2016,16ER2133,C,H,0,0,1,1,0,1
SBV095_plate02|2016.34153005464,SBV095,Bovine,2016,5/05/2016,16ER1715,C,H,0,0,1,1,0,1
SBV096_plate02|2016.50819672131,SBV096,Bovine,2016,5/07/2016,16ER2282,C,H,0,0,1,1,0,1
SBV097_plate02|2016.53551912568,SBV097,Bovine,2016,15/07/2016,16ER2358,C,H,0,0,1,1,0,1
SBV098_plate02|2016.55191256831,SBV098,Bovine,2016,21/07/2016,16ER2419,C,H,0,0,1,0,0,1
SBV099_plate02|2016.56557377049,SBV099,Bovine,2016,26/07/2016,16ER2486,B,E,0,0,1,1,1,1
SBV100_plate02|2016.58196721311,SBV100,Bovine,2016,1/08/2016,16ER2529,C,H,0,0,1,1,0,1
SBV101_plate02|2016.60928961749,SBV101,Bovine,2016,11/08/2016,16ER2768,C,H,0,0,1,1,0,1
SBV102_plate02|2016.62568306011,SBV102,Bovine,2016,17/08/2016,16ER2925,B,D,0,0,1,2,1,1
