Isolate	cluster_A	cluster_B
SBV005_plate01|2004.87158469945	A	A
SBV007_plate01|2015.66849315068	B	D
SBV010_plate01|2007.42739726027	A	A
SBV011_plate01|2008.65300546448	A	A
SBV019_plate01|2011.87945205479	A	B
SBV021_plate01|2012.04644808743	A	A
SBV022_plate01|2012.12295081967	B	E
SBV023_plate01|2016.75683060109	C	H
SBV024_plate01|2012.54371584699	A	B
SBV025_plate01|2012.77595628415	B	E
SBV027_plate01|2013.27397260274	B	E
SBV029_plate01|2013.6301369863	A	C
SBV030_plate01|2014.0904109589	B	E
SBV032_plate01|2014.41917808219	A	C
SBV033_plate01|2014.42739726027	B	E
SBV035_plate01|2014.99726027397	B	D
SBV036_plate01|2015	B	D
SBV037_plate01|2015.02465753425	B	E
SBV038_plate01|2015.11506849315	B	D
SBV039_plate01|2015.30136986301	C	H
SBV040_plate03|2015.33698630137	B	D
SBV041_plate01|2015.43287671233	C	H
SBV042_plate01|2015.70136986301	B	D
SBV043_plate01|2015.20821917808	C	H
SBV044_plate01|2015.32054794521	C	H
SBV045_plate01|2015.34794520548	C	H
SBV046_plate01|2015.37534246575	C	H
SBV047_plate01|2015.38082191781	C	H
SBV048_plate01|2015.33698630137	C	H
SBV049_plate01|2015.37534246575	C	H
SBV050_plate01|2015.4904109589	C	H
SBV051_plate01|2015.42465753425	C	H
SBV052_plate01|2015.49863013699	C	H
SBV053_plate01|2015.55068493151	B	E
SBV054_plate01|2015.60547945205	B	D
SBV055_plate01|2015.61643835616	C	H
SBV057_plate01|2015.63287671233	B	E
SBV058_plate01|2015.65205479452	B	D
SBV059_plate01|2015.4904109589	C	H
SBV060_plate01|2015.67397260274	B	E
SBV061_plate01|2015.58356164384	B	D
SBV062_plate01|2015.7095890411	B	D
SBV063_plate01|2015.71506849315	C	H
SBV064_plate01|2015.72602739726	B	D
SBV065_plate03|2015.74246575342	B	D
SBV067_plate01|2015.78904109589	C	H
SBV068_plate01|2015.80547945205	B	D
SBV069_plate01|2015.87945205479	C	H
SBV070_plate01|2015.91780821918	B	D
SBV071_plate01|2015.95616438356	C	H
SBV072_plate02|2016.02732240437	B	E
SBV073_plate03|2016.06557377049	B	D
SBV074_plate03|2016.08469945355	B	D
SBV075_plate02|2016.19398907104	C	H
SBV076_plate02|2016.71584699454	C	H
SBV077_plate02|2016.31967213115	C	H
SBV078_plate02|2016.42349726776	B	D
SBV079_plate02|2016.45628415301	C	H
SBV080_plate02|2016.42896174863	B	D
SBV081_plate02|2016.62568306011	C	H
SBV082_plate02|2016.74590163934	C	H
SBV083_plate02|2016.77595628415	C	H
SBV084_plate02|2016.03825136612	C	H
SBV085_plate03|2016.03551912568	C	H
SBV087_plate02|2016.12295081967	C	H
SBV088_plate02|2016.25956284153	B	D
SBV089_plate02|2016.28415300546	C	H
SBV090_plate02|2016.30601092896	B	E
SBV091_plate02|2016.34153005464	B	D
SBV092_plate02|2016.33879781421	B	E
SBV093_plate02|2016.42896174863	B	D
SBV094_plate02|2016.45081967213	C	H
SBV095_plate02|2016.34153005464	C	H
SBV096_plate02|2016.50819672131	C	H
SBV097_plate02|2016.53551912568	C	H
SBV098_plate02|2016.55191256831	C	H
SBV099_plate02|2016.56557377049	B	E
SBV100_plate02|2016.58196721311	C	H
SBV101_plate02|2016.60928961749	C	H
SBV102_plate02|2016.62568306011	B	D
SBV103_plate02|2016.65027322404	B	D
SBV104_plate02|2016.66666666667	B	D
SBV105_plate02|2016.68579234973	C	H
SBV106_plate02|2016.69672131148	C	H
SBV107_plate02|2016.7349726776	B	D
SBV108_plate02|2016.74316939891	C	H
SBV109_plate02|2019.62191780822	C	H
SBV110_plate02|2016.7650273224	B	D
SBV111_plate02|2016.77595628415	C	H
SBV112_plate02|2016.80054644809	C	H
SBV113_plate02|2016.98907103825	C	H
SBV114_plate02|2016.98087431694	C	H
SBV115_plate02|2016.99180327869	C	H
SBV116_plate02|2017.05753424658	B	D
SBV117_plate02|2017.06301369863	C	H
SBV118_plate02|2017.21369863014	C	H
SBV119_plate02|2017.25479452055	B	D
SBV121_plate02|2017.68219178082	C	H
SBV122_plate02|2017.68219178082	C	H
SBV123_plate02|2017.42739726027	C	H
SBV124_plate02|2016.99180327869	C	H
SBV125_plate02|2017.00821917808	C	H
SBV126_plate03|2017.02739726027	C	H
SBV127_plate02|2017.08493150685	B	D
SBV128_plate02|2017.14794520548	C	H
SBV130_plate02|2017.2	C	H
SBV131_plate03|2017.25205479452	C	H
SBV132_plate02|2017.27945205479	C	H
SBV133_plate02|2017.31780821918	C	H
SBV134_plate02|2017.33698630137	C	H
SBV135_plate02|2017.33698630137	B	E
SBV136_plate02|2017.37534246575	C	H
SBV137_plate03|2017.41095890411	C	H
SBV138_plate02|2017.43561643836	C	H
SBV139_plate02|2017.44657534247	C	H
SBV140_plate02|2017.48767123288	C	H
SBV141_plate02|2017.52876712329	C	H
SBV142_plate02|2017.56712328767	C	H
SBV143_plate02|2017.57808219178	C	H
SBV144_plate02|2017.6	C	H
SBV145_plate02|2017.61095890411	C	H
SBV146_plate02|2017.64109589041	C	H
SBV147_plate02|2017.67397260274	B	D
SBV148_plate02|2017.6904109589	C	H
SBV149_plate03|2017.71780821918	B	D
SBV150_plate02|2017.75068493151	C	H
SBV151_plate02|2017.79726027397	B	D
SBV152_plate02|2017.83835616438	C	H
SBV153_plate02|2017.89589041096	C	H
SBV154_plate03|2018.02465753425	B	D
SBV155_plate03|2018.00821917808	B	E
SBV156_plate02|2018.04109589041	C	H
SBV157_plate02|2018.04109589041	C	H
SBV158_plate02|2018.0602739726	C	H
SBV159_plate02|2018.07945205479	C	H
SBV160_plate02|2018.09315068493	C	H
SBV161_plate02|2018.13424657534	B	D
SBV162_plate02|2018.1095890411	C	H
SBV163_plate02|2018.18356164384	C	H
SBV164_plate02|2018.19452054795	C	H
SBV165_plate02|2018.33150684932	B	D
SBV166_plate02|2018.34246575342	C	H
SBV167_plate02|2018.63561643836	C	H
SBV168_plate02|2018.62191780822	C	H
SBV169_plate02|2018.68219178082	C	H
SBV170_plate02|2018.77808219178	B	D
SBV171_plate02|2017.96438356164	C	H
SBV172_plate02|2018.01095890411	C	H
SBV173_plate02|2018.04657534247	C	H
SBV174_plate02|2018.06849315068	C	H
SBV175_plate02|2018.10410958904	C	H
SBV176_plate02|2018.42739726027	B	D
SBV177_plate03|2018.14520547945	C	H
SBV178_plate03|2018.17534246575	B	D
SBV179_plate03|2018.19452054795	C	H
SBV180_plate03|2018.27123287671	C	H
SBV181_plate03|2018.27671232877	C	H
SBV183_plate03|2018.33150684932	B	F
SBV184_plate03|2018.35890410959	C	H
SBV185_plate03|2018.40273972603	C	H
SBV186_plate03|2018.42465753425	C	H
SBV187_plate03|2018.46575342466	C	H
SBV188_plate03|2018.5095890411	C	H
SBV189_plate03|2018.56712328767	C	H
SBV190_plate03|2018.58082191781	C	H
SBV191_plate03|2018.58356164384	C	H
SBV192_plate03|2018.64657534247	B	E
SBV193_plate03|2018.67397260274	C	H
SBV194_plate03|2018.67945205479	C	H
SBV195_plate03|2018.71780821918	C	H
SBV196_plate03|2018.74794520548	B	D
SBV197_plate03|2018.79452054795	C	H
SBV198_plate03|2018.84383561644	C	H
SBV199_plate03|2018.8904109589	C	H
SBV200_plate03|2018.90410958904	B	D
SBV201_plate03|2018.92054794521	C	H
SBV202_plate03|2018.95068493151	C	H
SBV203_plate03|2018.96438356164	C	H
SBV204_plate03|2019.42739726027	C	H
SBV205_plate03|2018.99452054795	B	E
SBV206_plate03|2019.01643835616	C	H
SBV207_plate03|2019.0301369863	C	H
SBV208_plate03|2019.04657534247	B	G
SBV209_plate03|2019.05205479452	C	H
SBV210_plate03|2019.08493150685	B	E
SBV211_plate03|2019.21095890411	C	H
SBV212_plate03|2019.24931506849	B	E
SBV213_plate03|2019.27945205479	C	H
SBV214_plate03|2019.44383561644	C	H
SBV216_plate03|2019.00821917808	B	D
SBV217_plate03|2019.07945205479	C	H
SBV218_plate05|2019.09315068493	B	E
SBV219_plate03|2019.10136986301	C	H
SBV220_plate03|2019.1397260274	C	H
SBV221_plate03|2019.20821917808	B	D
SBV222_plate03|2019.42739726027	B	E
SBV224_plate03|2019.25753424658	B	E
SBV225_plate03|2019.30684931507	C	H
SBV226_plate03|2019.34520547945	C	H
SBV227_plate03|2019.65753424658	C	H
SBV228_plate03|2019.40547945205	B	D
SBV229_plate03|2019.36164383562	C	H
SBV230_plate03|2019.43835616438	C	H
SBV231_plate03|2019.45753424658	C	H
SBV232_plate03|2019.50410958904	C	H
SBV233_plate03|2019.5397260274	C	H
SBV234_plate05|2019.55342465753	C	H
SBV235_plate05|2019.42739726027	C	H
SBV236_plate03|2019.61369863014	C	H
SBV237_plate03|2019.61917808219	B	E
SBV238_plate03|2019.84383561644	C	H
SBV239_plate03|2019.15068493151	C	H
SBV240_plate05|2019.69863013699	C	H
