Isolate,Isolate,level 1,level 2,Isolate,cluster_A,cluster_B,,,,,,,,Isolate
SBV005_plate01|2004.87158469945,SBV005,1,1,SBV005_plate01|2004.87158469945,A,A,,,,,,,,SBV005
SBV007_plate01|2015.66849315068,SBV007,2,4,SBV007_plate01|2015.66849315068,B,D,,,,,,,,SBV007
SBV010_plate01|2007.42739726027,SBV010,1,1,SBV010_plate01|2007.42739726027,A,A,,,,1,A,,,SBV010
SBV011_plate01|2008.65300546448,SBV011,1,1,SBV011_plate01|2008.65300546448,A,A,,,,2,B,,,SBV011
SBV019_plate01|2011.87945205479,SBV019,1,2,SBV019_plate01|2011.87945205479,A,B,,,,3,C,,,SBV019
SBV021_plate01|2012.04644808743,SBV021,1,1,SBV021_plate01|2012.04644808743,A,A,,,,4,D,,,SBV021
SBV022_plate01|2012.12295081967,SBV022,2,5,SBV022_plate01|2012.12295081967,B,E,,,,5,E,,,SBV022
SBV023_plate01|2016.75683060109,SBV023,3,8,SBV023_plate01|2016.75683060109,C,H,,,,6,F,,,SBV023
SBV024_plate01|2012.54371584699,SBV024,1,2,SBV024_plate01|2012.54371584699,A,B,,,,7,G,,,SBV024
SBV025_plate01|2012.77595628415,SBV025,2,5,SBV025_plate01|2012.77595628415,B,E,,,,8,H,,,SBV025
SBV027_plate01|2013.27397260274,SBV027,2,5,SBV027_plate01|2013.27397260274,B,E,,,,,,,,SBV027
SBV029_plate01|2013.6301369863,SBV029,1,3,SBV029_plate01|2013.6301369863,A,C,,,,,,,,SBV029
SBV030_plate01|2014.0904109589,SBV030,2,5,SBV030_plate01|2014.0904109589,B,E,,,,,,,,SBV030
SBV032_plate01|2014.41917808219,SBV032,1,3,SBV032_plate01|2014.41917808219,A,C,,,,,,,,SBV032
SBV033_plate01|2014.42739726027,SBV033,2,5,SBV033_plate01|2014.42739726027,B,E,,,,,,,,SBV033
SBV035_plate01|2014.99726027397,SBV035,2,4,SBV035_plate01|2014.99726027397,B,D,,,,,,,,SBV035
SBV036_plate01|2015,SBV036,2,4,SBV036_plate01|2015,B,D,,,,,,,,SBV036
SBV037_plate01|2015.02465753425,SBV037,2,5,SBV037_plate01|2015.02465753425,B,E,,,,,,,,SBV037
SBV038_plate01|2015.11506849315,SBV038,2,4,SBV038_plate01|2015.11506849315,B,D,,,,,,,,SBV038
SBV039_plate01|2015.30136986301,SBV039,3,8,SBV039_plate01|2015.30136986301,C,H,,,,,,,,SBV039
SBV040_plate03|2015.33698630137,SBV040,2,4,SBV040_plate03|2015.33698630137,B,D,,,,,,,,SBV040
