time,date,datetime,milliseconds,mean,median,upper,lower
2022.87,13/11/2022,2022-11-13T00:12:00,1.67E+12,58.87795388,52.27259082,132.0712423,24.858438
2022.556258,21/07/2022,2022-07-21T11:49:11,1.66E+12,58.87795388,52.27259082,132.0712423,24.858438
2022.242516,28/03/2022,2022-03-28T23:26:22,1.65E+12,58.87795388,52.27259082,132.0712423,24.858438
2021.928774,4/12/2021,2021-12-04T11:03:32,1.64E+12,58.87795388,52.27259082,132.0712423,24.858438
2021.615032,11/08/2021,2021-08-11T22:40:43,1.63E+12,58.87795388,52.27259082,132.0712423,24.858438
2021.30129,19/04/2021,2021-04-19T10:17:54,1.62E+12,58.87795388,52.27259082,132.0712423,24.858438
2020.987548,24/12/2020,2020-12-24T21:55:05,1.61E+12,59.03985078,52.42948959,132.2107376,25.03776894
2020.673806,1/09/2020,2020-09-01T09:32:16,1.60E+12,67.77291926,60.97062158,151.1612935,24.11426317
2020.360064,9/05/2020,2020-05-09T21:09:26,1.59E+12,70.99009582,63.11246106,162.2801496,26.31500416
2020.046322,16/01/2020,2020-01-16T08:46:37,1.58E+12,67.87971939,60.45505893,160.2426919,21.64966028
2019.73258,23/09/2019,2019-09-23T20:23:48,1.57E+12,53.81740841,44.68098384,149.432422,12.3310176
2019.418837,1/06/2019,2019-06-01T08:00:59,1.56E+12,36.47959121,27.3575763,119.4101138,5.72519166
2019.105095,6/02/2019,2019-02-06T19:38:10,1.55E+12,20.27870301,12.16786061,85.73497872,2.436855529
2018.791353,15/10/2018,2018-10-15T07:15:21,1.54E+12,11.02045657,6.113880904,51.98725973,1.885649446
2018.477611,22/06/2018,2018-06-22T18:52:31,1.53E+12,7.392078962,4.936604614,29.07206184,1.969234494
2018.163869,28/02/2018,2018-02-28T06:29:42,1.52E+12,6.276041552,4.934971973,17.38402064,2.216027186
2017.850127,5/11/2017,2017-11-05T18:06:53,1.51E+12,6.050616667,5.169886455,13.94945465,2.43448398
2017.536385,14/07/2017,2017-07-14T05:44:04,1.50E+12,6.041497135,5.341312318,13.29904322,2.538906376
2017.222643,21/03/2017,2017-03-21T17:21:15,1.49E+12,6.055854266,5.419046214,13.063379,2.572678367
2016.908901,26/11/2016,2016-11-26T04:58:25,1.48E+12,6.070032975,5.462007604,13.01664487,2.581139232
2016.595159,3/08/2016,2016-08-03T16:35:36,1.47E+12,6.070411176,5.474654838,13.0252855,2.581165932
2016.281417,11/04/2016,2016-04-11T04:12:47,1.46E+12,6.067680349,5.480280811,13.0127714,2.581331789
2015.967675,18/12/2015,2015-12-18T15:49:58,1.45E+12,6.070936676,5.482897196,13.06232155,2.581331789
2015.653933,26/08/2015,2015-08-26T03:27:09,1.44E+12,6.074852591,5.483408508,13.09534425,2.581331789
2015.340191,3/05/2015,2015-05-03T15:04:19,1.43E+12,6.076534572,5.484284145,13.10113028,2.581331789
2015.026449,9/01/2015,2015-01-09T02:41:30,1.42E+12,6.078178852,5.484471043,13.11982729,2.581331789
2014.712707,16/09/2014,2014-09-16T14:18:41,1.41E+12,6.07797892,5.484496183,13.12441656,2.581331789
2014.398965,25/05/2014,2014-05-25T01:55:52,1.40E+12,6.078369628,5.484496183,13.12550553,2.581331789
2014.085223,30/01/2014,2014-01-30T13:33:03,1.39E+12,6.07836168,5.484496183,13.12281274,2.581331789
2013.771481,8/10/2013,2013-10-08T01:10:14,1.38E+12,6.078120519,5.484496183,13.11982729,2.581331789
2013.457739,15/06/2013,2013-06-15T12:47:24,1.37E+12,6.078120519,5.484496183,13.11982729,2.581331789
2013.143997,21/02/2013,2013-02-21T00:24:35,1.36E+12,6.07822488,5.484496183,13.12281274,2.581331789
2012.830255,28/10/2012,2012-10-28T12:01:46,1.35E+12,6.078219301,5.484496183,13.12281274,2.581331789
2012.516512,5/07/2012,2012-07-05T23:38:57,1.34E+12,6.078045467,5.484496183,13.12441656,2.581331789
2012.20277,13/03/2012,2012-03-13T11:16:08,1.33E+12,6.078045467,5.484496183,13.12441656,2.581331789
2011.889028,19/11/2011,2011-11-19T22:53:18,1.32E+12,6.078045467,5.484496183,13.12441656,2.581331789
2011.575286,28/07/2011,2011-07-28T10:30:29,1.31E+12,6.078045467,5.484496183,13.12441656,2.581331789
2011.261544,4/04/2011,2011-04-04T22:07:40,1.30E+12,6.078295218,5.484496183,13.12550553,2.581331789
2010.947802,11/12/2010,2010-12-11T09:44:51,1.29E+12,6.078295218,5.484496183,13.12550553,2.581331789
2010.63406,18/08/2010,2010-08-18T21:22:02,1.28E+12,6.078295218,5.484496183,13.12550553,2.581331789
2010.320318,26/04/2010,2010-04-26T08:59:13,1.27E+12,6.078295218,5.484496183,13.12550553,2.581331789
2010.006576,1/01/2010,2010-01-01T20:36:23,1.26E+12,6.078295218,5.484496183,13.12550553,2.581331789
2009.692834,9/09/2009,2009-09-09T08:13:34,1.25E+12,6.078295218,5.484496183,13.12550553,2.581331789
2009.379092,17/05/2009,2009-05-17T19:50:45,1.24E+12,6.078295218,5.484496183,13.12550553,2.581331789
2009.06535,23/01/2009,2009-01-23T07:27:56,1.23E+12,6.078295218,5.484496183,13.12550553,2.581331789
2008.751608,29/09/2008,2008-09-29T19:05:07,1.22E+12,6.078295218,5.484496183,13.12550553,2.581331789
2008.437866,7/06/2008,2008-06-07T06:42:17,1.21E+12,6.078295218,5.484496183,13.12550553,2.581331789
2008.124124,13/02/2008,2008-02-13T18:19:28,1.20E+12,6.078295218,5.484496183,13.12550553,2.581331789
2007.810382,22/10/2007,2007-10-22T05:56:39,1.19E+12,6.078295218,5.484496183,13.12550553,2.581331789
2007.49664,29/06/2007,2007-06-29T17:33:50,1.18E+12,6.078295218,5.484496183,13.12550553,2.581331789
2007.182898,7/03/2007,2007-03-07T05:11:01,1.17E+12,6.078295218,5.484496183,13.12550553,2.581331789
2006.869156,12/11/2006,2006-11-12T16:48:11,1.16E+12,6.078295218,5.484496183,13.12550553,2.581331789
2006.555414,21/07/2006,2006-07-21T04:25:22,1.15E+12,6.078295218,5.484496183,13.12550553,2.581331789
2006.241672,28/03/2006,2006-03-28T16:02:33,1.14E+12,6.078295218,5.484496183,13.12550553,2.581331789
2005.927929,4/12/2005,2005-12-04T03:39:44,1.13E+12,6.078295218,5.484496183,13.12550553,2.581331789
2005.614187,11/08/2005,2005-08-11T15:16:55,1.12E+12,6.078295218,5.484496183,13.12550553,2.581331789
2005.300445,19/04/2005,2005-04-19T02:54:06,1.11E+12,6.078295218,5.484496183,13.12550553,2.581331789
2004.986703,24/12/2004,2004-12-24T14:31:16,1.10E+12,6.078295218,5.484496183,13.12550553,2.581331789
2004.672961,1/09/2004,2004-09-01T02:08:27,1.09E+12,6.078295218,5.484496183,13.12550553,2.581331789
2004.359219,9/05/2004,2004-05-09T13:45:38,1.08E+12,6.078295218,5.484496183,13.12550553,2.581331789
2004.045477,16/01/2004,2004-01-16T01:22:49,1.07E+12,6.078295218,5.484496183,13.12550553,2.581331789
2003.731735,23/09/2003,2003-09-23T13:00:00,1.06E+12,6.078295218,5.484496183,13.12550553,2.581331789
2003.417993,1/06/2003,2003-06-01T00:37:10,1.05E+12,6.078295218,5.484496183,13.12550553,2.581331789
2003.104251,6/02/2003,2003-02-06T12:14:21,1.04E+12,6.078295218,5.484496183,13.12550553,2.581331789
2002.790509,14/10/2002,2002-10-14T23:51:32,1.03E+12,6.078295218,5.484496183,13.12550553,2.581331789
2002.476767,22/06/2002,2002-06-22T11:28:43,1.02E+12,6.078295218,5.484496183,13.12550553,2.581331789
2002.163025,27/02/2002,2002-02-27T23:05:54,1.01E+12,6.078295218,5.484496183,13.12550553,2.581331789
