Date,week_num,A,B,C,D
23/08/2005,34,1,0,0,0
30/08/2005,35,0,0,0,0
06/09/2005,36,0,0,0,0
13/09/2005,37,0,0,0,0
20/09/2005,38,0,0,0,0
27/09/2005,39,0,0,0,0
04/10/2005,40,0,0,0,0
11/10/2005,41,0,0,0,0
18/10/2005,42,0,0,0,0
25/10/2005,43,0,0,0,0
01/11/2005,44,0,0,0,0
08/11/2005,45,0,0,0,0
15/11/2005,46,0,0,0,0
22/11/2005,47,0,0,0,0
29/11/2005,48,0,0,0,0
06/12/2005,49,0,0,0,0
13/12/2005,50,0,0,0,0
20/12/2005,51,0,0,0,0
27/12/2005,52,0,0,0,0
03/01/2006,53,0,0,0,0
10/01/2006,54,0,0,0,0
17/01/2006,55,0,0,0,0
24/01/2006,56,0,0,0,0
31/01/2006,57,0,0,0,0
07/02/2006,58,0,0,0,0
14/02/2006,59,0,0,0,0
21/02/2006,60,0,0,0,0
28/02/2006,61,0,0,0,0
07/03/2006,62,0,0,0,0
14/03/2006,63,0,0,0,0
21/03/2006,64,0,0,0,0
28/03/2006,65,0,0,0,0
04/04/2006,66,0,0,0,0
11/04/2006,67,0,0,0,0
18/04/2006,68,0,0,0,0
25/04/2006,69,0,0,0,0
02/05/2006,70,0,0,0,0
09/05/2006,71,0,0,0,0
16/05/2006,72,0,0,0,0
23/05/2006,73,0,0,0,0
30/05/2006,74,0,0,0,0
06/06/2006,75,0,0,0,0
13/06/2006,76,0,0,0,0
20/06/2006,77,0,0,0,0
27/06/2006,78,0,0,0,0
04/07/2006,79,0,0,0,0
11/07/2006,80,0,0,0,0
18/07/2006,81,0,0,0,0
25/07/2006,82,0,0,0,0
01/08/2006,83,0,0,0,0
08/08/2006,84,0,0,0,0
15/08/2006,85,0,0,0,0
22/08/2006,86,0,0,0,0
29/08/2006,87,0,0,0,0
05/09/2006,88,0,0,0,0
12/09/2006,89,0,0,0,0
19/09/2006,90,0,0,0,0
26/09/2006,91,0,0,0,0
03/10/2006,92,0,0,0,0
10/10/2006,93,0,0,0,0
17/10/2006,94,0,0,0,0
24/10/2006,95,0,0,0,0
31/10/2006,96,0,0,0,0
07/11/2006,97,0,0,0,0
14/11/2006,98,0,0,0,0
21/11/2006,99,0,0,0,0
28/11/2006,100,0,0,0,0
05/12/2006,101,0,0,0,0
12/12/2006,102,0,0,0,0
19/12/2006,103,0,0,0,0
26/12/2006,104,0,0,0,0
02/01/2007,105,0,0,0,0
09/01/2007,106,0,0,0,0
16/01/2007,107,0,0,0,0
23/01/2007,108,0,0,0,0
30/01/2007,109,0,0,0,0
06/02/2007,110,0,0,0,0
13/02/2007,111,0,0,0,0
20/02/2007,112,0,0,0,0
27/02/2007,113,0,0,0,0
06/03/2007,114,0,0,0,0
13/03/2007,115,0,0,0,0
20/03/2007,116,0,0,0,0
27/03/2007,117,0,0,0,0
03/04/2007,118,0,0,0,0
10/04/2007,119,0,0,0,0
17/04/2007,120,0,0,0,0
24/04/2007,121,0,0,0,0
01/05/2007,122,0,0,0,0
08/05/2007,123,0,0,0,0
15/05/2007,124,0,0,0,0
22/05/2007,125,0,0,0,0
29/05/2007,126,0,0,0,0
05/06/2007,127,0,0,0,0
12/06/2007,128,0,0,0,0
19/06/2007,129,0,0,0,0
26/06/2007,130,0,0,0,0
03/07/2007,131,0,0,0,0
10/07/2007,132,0,0,0,0
17/07/2007,133,0,0,0,0
24/07/2007,134,0,0,0,0
31/07/2007,135,0,0,0,0
07/08/2007,136,0,0,0,0
14/08/2007,137,0,0,0,0
