ID	ST	cmeABCR
SC0006	50	cmeA1_B1_C1_R1
SC0007	50	cmeA1_B1_C1_R1
SC0011	50	cmeA1_B1_C1_R1
SC0013	190	cmeA1_B1_C1_R1
SC0014	520	cmeA1_B1_C1_R1
SC0016	45	cmeA2_B2_C2_R2
SC0017	508	cmeA3_B3_C2_R3
SC0018	45	cmeA2_B4_C2_R2
SC0019	45	cmeA2_B2_C2_R2
SC0024	474	cmeA1_B5_C1_R1
SC0026	6964	cmeA4_B6_C3_R4
SC0028	12749	cmeA1_B7_C1_R1
SC0031	227	cmeA1_B5_C4_R1
SC0037	354	cmeA4_B8_C5_R2
SC0038	6964	cmeA4_B6_C3_R4
SC0041	48	cmeA5_B5_C1_R5
SC0042	538	cmeA2_B4_C2_R2
SC0045	45	cmeA2_B4_C2_R2
SC0046	50	cmeA1_B1_C1_R1
SC0047	21	cmeA1_B1_C1_R1
SC0048	486	cmeA1_B5_C1_R1
SC0054	50	cmeA1_B1_C1_R1
SC0058	677	cmeA3_B9_C6_R6
SC0062	6964	cmeA4_B6_C3_R4
SC0064	50	cmeA1_B5_C7_R1
SC0066	2345	cmeA1_B10_C1_R1
SC0069	12752	cmeA6_B11_C8_R1
SC0072	53	cmeA1_B1_C1_R1
SC0074	474	cmeA1_B5_C1_R1
SC0078	190	cmeA1_B1_C1_R1
SC0079	3721	cmeA2_B4_C2_R2
SC0080	6964	cmeA4_B6_C3_R4
SC0081	6964	cmeA4_B6_C3_R4
SC0082	48	cmeA5_B5_C1_R5
SC0083	704	cmeA4_B12_C9_R1
SC0084	1030	cmeA4_B13_C9_R1
SC0085	53	cmeA1_B1_C1_R1
SC0088	61	cmeA1_B5_C1_R7
SC0089	137	cmeA2_B4_C2_R8
SC0090	618	cmeA1_B5_C1_R7
SC0092	53	cmeA1_B1_C1_R7
SC0096	53	cmeA1_B1_C1_R1
SC0097	190	cmeA1_B1_C1_R1
SC0100	48	cmeA5_B5_C1_R5
SC0102	2347	cmeA4_B14_C10_R1
SC0103	61	cmeA1_B5_C1_R7
SC0105	190	cmeA1_B1_C1_R1
SC0107	3610	cmeA1_B1_C1_R1
SC0109	257	cmeA1_B15_C11_R9
SC0110	474	cmeA1_B5_C1_R1
SC0113	474	cmeA1_B5_C1_R1
SC0114	474	cmeA1_B5_C1_R1
SC0115	474	cmeA1_B5_C1_R1
SC0116	45	cmeA2_B16_C2_R2
SC0117	48	cmeA5_B5_C1_R5
SC0118	53	cmeA1_B1_C1_R1
SC0119	474	cmeA1_B5_C1_R10
SC0120	257	cmeA1_B8_C11_R9
SC0121	61	cmeA1_B5_C1_R7
SC0122	61	cmeA1_B5_C1_R7
SC0123	61	cmeA1_B5_C1_R7
SC0124	61	cmeA1_B5_C1_R7
SC0125	190	cmeA1_B1_C1_R11
SC0126	42	cmeA5_B17_C12_R12
SC0128	422	cmeA1_B1_C1_R1
SC0129	61	cmeA1_B5_C1_R7
SC0130	190	cmeA1_B1_C1_R1
SC0131	422	cmeA1_B1_C1_R1
SC0132	190	cmeA1_B1_C1_R1
SC0134	535	cmeA4_B18_C13_R2
SC0136	8185	cmeA4_B19_C14_R13
SC0137	48	cmeA5_B5_C1_R5
SC0138	48	cmeA5_B5_C1_R5
