id,ST,Source
SC0001,3072,Ovine
SC0002,3072,Ovine
SC0003,3072,Ovine
SC0004,3072,Ovine
SC0005,3072,Ovine
SC0008,3222,Ovine
SC0009,3222,Ovine
SC0010,3222,Ovine
SC0012,825,Ovine
SC0015,825,Ovine
SC0086,3222,Bovine
SC0087,3222,Bovine
SC0091,3072,Bovine
SC0098,2256,Humans
SC0111,825,Poultry
SC0176,4009,Humans
SC0194,825,Humans
SC0209,3222,Bovine
SC0231,4009,Humans
SC0250,3222,Ovine
SC0280,2256,Humans
SC0286,8926,Humans
SC0341,1115,Bovine
SC0346,890,Bovine
SC0352,12248,Humans
SC0361,827,Humans
SC0384,825,Ovine
SC0385,3072,Ovine
SC0387,825,Ovine
SC0388,1115,Ovine
SC0391,4009,Humans
SC0396,825,Humans
SC0408,2256,Poultry
SC0435,3222,Bovine
SC0438,3222,Bovine
SC0453,2256,Poultry
SC0454,2256,Poultry
SC0475,8712,Poultry
SC0476,2256,Poultry
SC0477,3232,Ovine
SC0478,3072,Ovine
SC0481,3222,Ovine
SC0483,825,Ovine
SC0484,3232,Ovine
SC0485,14908,Ovine
SC0486,3232,Ovine
SC0494,8926,Humans
SC0504,8926,Poultry
SC0540,3072,Humans
SC0545,3072,Bovine
SC0568,1581,Ovine
SC0569,825,Ovine
SC0570,3072,Ovine
SC0571,825,Ovine
SC0572,890,Ovine
SC0573,1581,Ovine
SC0574,12272,Ovine
SC0575,12272,Ovine
SC0576,825,Ovine
SC0577,12272,Ovine
SC0579,825,Ovine
SC0581,825,Ovine
SC0585,3222,Ovine
SC0594,8926,Humans
SC0618,8926,Poultry
SC0632,8926,Humans
SC0670,1581,Poultry
SC0674,890,Poultry
SC0677,8926,Poultry
SC0682,830,Humans
SC0697,1581,Poultry
SC0708,7677,Ovine
SC0709,3072,Ovine
SC0711,3232,Ovine
SC0712,825,Ovine
SC0713,825,Ovine
SC0715,825,Ovine
SC0716,825,Ovine
SC0725,14593,Humans
SC0737,825,Humans
SC0742,8926,Poultry
SC0745,12072,Humans
SC0760,854,Humans
SC0761,8712,Poultry
SC0776,8926,Humans
SC0820,3222,Bovine
SC0840,1581,Humans
SC0850,3222,Ovine
SC0851,3222,Ovine
SC0852,3072,Ovine
SC0853,3232,Ovine
SC0857,825,Ovine
SC0858,3072,Ovine
SC0859,3232,Ovine
SC0861,7677,Ovine
SC0909,14595,Humans
SC0941,900,Poultry
SC0947,5734,Poultry
SC0948,2256,Poultry
SC0949,2256,Poultry
SC0961,825,Bovine
SC0987,900,Poultry
SC1010,14595,Humans
SC1061,3072,Ovine
SC1065,829,Ovine
SC1073,8926,Humans
SC1137,827,Bovine
SC1192,8926,Humans
SC1201,3072,Bovine
SC1202,3072,Bovine
SC1203,3072,Bovine
SC1207,890,Bovine
SC1319,4009,Poultry
SC1325,1581,Poultry
SC1380,8926,Humans
SC1416,3222,Bovine
SC1417,3222,Bovine
SC1423,3072,Bovine
SC1424,3072,Bovine
SC1439,3072,Ovine
SC1440,3072,Ovine
SC1441,825,Ovine
SC1442,825,Ovine
SC1443,3232,Ovine
SC1444,3072,Ovine
SC1494,3072,Ovine
SC1496,3072,Ovine
SC1497,3072,Ovine
SC1512,1581,Humans
SC1558,8926,Humans
SC1589,3072,Ovine
SC1591,1115,Bovine
SC1592,3072,Bovine
SC1594,1581,Bovine
SC1599,3072,Bovine
SC1612,14910,Bovine
SC1617,3072,Ovine
SC1618,3072,Ovine
SC1624,3072,Ovine
SC1628,2397,Ovine
SC1631,3072,Ovine
SC1632,3232,Ovine
SC1633,3072,Ovine
SC1669,3222,Bovine
SC1673,890,Bovine
SC1689,1096,Bovine
SC1694,2256,Poultry
SC1697,2256,Poultry
SC1703,854,Poultry
SC1705,2256,Poultry
SC1706,2256,Poultry
SC1707,2256,Poultry
SC1708,2256,Poultry
SC1716,2256,Poultry
SC1717,2256,Poultry
SC1718,3230,Poultry
SC1725,2256,Poultry
