id,ST,Source
SC0006,50,Ovine
SC0007,50,Ovine
SC0011,50,Ovine
SC0013,190,Ovine
SC0014,520,Ovine
SC0016,45,Human
SC0017,508,Human
SC0018,45,Human
SC0019,45,Human
SC0024,474,Human
SC0026,6964,Human
SC0028,12749,Human
SC0031,227,Human
SC0037,354,Human
SC0038,6964,Human
SC0041,48,Human
SC0042,538,Human
SC0045,45,Human
SC0046,50,Human
SC0047,21,Human
SC0048,486,Human
SC0054,50,Human
SC0058,677,Human
SC0062,6964,Human
SC0064,50,Human
SC0066,2345,Human
SC0069,12752,Human
SC0072,53,Human
SC0074,474,Human
SC0078,190,Poultry
SC0079,3721,Poultry
SC0080,6964,Poultry
SC0081,6964,Poultry
SC0082,48,Poultry
SC0083,704,Bovine
SC0084,1030,Bovine
SC0085,53,Bovine
SC0088,61,Bovine
SC0089,137,Bovine
SC0090,618,Bovine
SC0092,53,Bovine
SC0096,53,Human
SC0097,190,Human
SC0100,48,Human
SC0102,2347,Human
SC0103,61,Human
SC0105,190,Human
SC0107,3610,Human
SC0109,257,Poultry
SC0110,474,Poultry
SC0113,474,Poultry
SC0114,474,Poultry
SC0115,474,Poultry
SC0116,45,Poultry
SC0117,48,Poultry
SC0118,53,Bovine
SC0119,474,Bovine
SC0120,257,Ovine
SC0121,61,Ovine
SC0122,61,Ovine
SC0123,61,Ovine
SC0124,61,Ovine
SC0125,190,Ovine
SC0126,42,Ovine
SC0128,422,Ovine
SC0129,61,Ovine
SC0130,190,Ovine
SC0131,422,Ovine
SC0132,190,Ovine
SC0134,535,Human
SC0136,8185,Human
SC0137,48,Human
SC0138,48,Human
SC0139,2347,Human
SC0141,474,Human
SC0143,50,Human
SC0144,8065,Human
SC0145,257,Human
SC0147,257,Human
SC0149,486,Human
SC0150,422,Ovine
SC0153,3538,Human
SC0154,3538,Human
SC0155,474,Human
SC0158,42,Human
SC0159,48,Human
SC0160,6964,Human
SC0161,6964,Poultry
SC0162,2345,Poultry
SC0163,6964,Poultry
SC0164,45,Poultry
SC0165,190,Human
SC0166,474,Human
SC0167,50,Human
SC0168,520,Human
SC0169,436,Human
SC0170,6964,Human
SC0172,486,Human
SC0173,61,Human
SC0174,53,Human
SC0179,6964,Human
SC0180,61,Human
SC0181,53,Human
SC0182,474,Human
SC0183,190,Human
SC0184,50,Poultry
SC0185,658,Poultry
SC0186,6964,Poultry
SC0188,6964,Poultry
SC0189,6964,Poultry
SC0190,474,Human
SC0191,50,Human
SC0195,422,Human
SC0196,53,Human
SC0199,403,Bovine
SC0200,403,Bovine
SC0201,42,Bovine
SC0202,474,Bovine
SC0203,2026,Bovine
SC0204,3676,Bovine
SC0205,53,Bovine
SC0206,42,Bovine
SC0208,257,Bovine
SC0210,4492,Bovine
SC0211,508,Bovine
SC0212,3610,Bovine
SC0214,2026,Human
SC0217,520,Human
SC0218,2345,Human
SC0219,38,Human
SC0220,520,Human
SC0222,520,Human
SC0223,50,Poultry
SC0224,45,Poultry
SC0225,48,Poultry
SC0226,190,Poultry
SC0227,190,Poultry
SC0228,6964,Poultry
SC0230,50,Human
SC0235,2081,Human
SC0236,45,Human
SC0237,2392,Human
SC0238,520,Human
SC0240,42,Human
SC0241,50,Human
SC0242,42,Ovine
SC0243,422,Ovine
SC0244,42,Ovine
SC0245,50,Ovine
SC0246,422,Ovine
SC0247,190,Ovine
SC0248,190,Ovine
SC0251,190,Ovine
SC0252,190,Ovine
SC0253,50,Ovine
SC0254,2026,Ovine
SC0255,42,Ovine
SC0256,3538,Ovine
SC0259,583,Human
SC0260,6964,Human
SC0261,530,Human
SC0266,38,Human
SC0267,486,Human
SC0268,474,Human
SC0270,6964,Poultry
SC0271,50,Human
SC0272,6964,Human
SC0273,508,Human
SC0275,227,Human
SC0278,474,Human
SC0279,508,Human
SC0282,474,Human
SC0283,45,Human
SC0284,50,Human
SC0285,61,Human
SC0287,4337,Poultry
SC0288,45,Poultry
SC0289,6964,Poultry
SC0293,50,Human
SC0295,486,Human
SC0296,48,Human
SC0297,6964,Human
SC0298,190,Human
SC0299,61,Human
SC0303,50,Human
SC0305,1517,Human
SC0306,5655,Poultry
SC0307,45,Poultry
SC0308,6964,Poultry
SC0309,48,Poultry
SC0310,45,Poultry
SC0311,4337,Poultry
SC0312,486,Poultry
SC0314,6964,Human
SC0316,25,Human
SC0317,474,Human
SC0319,227,Human
SC0320,227,Human
SC0321,42,Human
SC0323,6964,Human
SC0324,2350,Human
SC0326,474,Bovine
SC0327,42,Bovine
SC0328,422,Bovine
SC0329,520,Bovine
SC0330,42,Bovine
SC0331,53,Bovine
SC0332,4492,Bovine
SC0333,61,Bovine
