"isolate","n_recombinations","total_rec_bp","has_cmeR","has_cmeA","has_cmeB","has_cmeC","all_genes_hit","rec_types"
"""",2,2851,FALSE,FALSE,TRUE,FALSE,"cmeB","shared"
"""SC0431""",1,31,FALSE,TRUE,FALSE,FALSE,"cmeA","unique"
"""SC1113""",1,9696,FALSE,FALSE,TRUE,TRUE,"cmeC, cmeB","unique"
"""SC1244""",1,5031,FALSE,FALSE,TRUE,TRUE,"cmeC, cmeB","unique"
"SC0363",1,63,FALSE,FALSE,TRUE,FALSE,"cmeB","shared"
"SC0492""",1,63,FALSE,FALSE,TRUE,FALSE,"cmeB","shared"
"SC1113",1,63,FALSE,FALSE,TRUE,FALSE,"cmeB","shared"
"SC1118""",1,2788,FALSE,FALSE,TRUE,FALSE,"cmeB","shared"
"SC1244",1,63,FALSE,FALSE,TRUE,FALSE,"cmeB","shared"
"SC1296",1,2788,FALSE,FALSE,TRUE,FALSE,"cmeB","shared"
