ST,Length
ST3222,3936
ST3222,3936
ST3222,3936
ST825,14420
ST825,3667
ST825,1213
ST3222,4065
ST3222,4065
ST3222,4067
ST3222,4065
ST1115,27846
ST1115,27555
ST4009,2150
ST4009,21847
ST4009,3923
ST3222,4043
ST3222,4043
ST2256,6037
ST2256,3113
ST2256,7436
ST2256,9561
ST2256,4037
ST3222,4065
STunknown1,27718
ST825,2761
ST825,2341
ST825,14324
ST825,2628
ST825,14528
ST825,5092
ST3222,4043
ST8926,33881
ST830,28083
ST830,2534
ST830,5507
ST14593,4064
ST3222,4065
ST3222,4043
ST3222,4043
ST3232,14549
ST3232,2291
ST3232,3384
ST14595,18419
ST14595,4199
ST900,2313
ST900,10918
ST900,18335
ST900,2171
ST900,7481
ST900,14754
ST900,15356
ST900,2428
ST5734,1639
ST900,18065
ST900,3770
ST900,3721
ST900,2428
ST900,18335
ST900,7622
ST900,36277
ST14595,3847
ST14595,11934
ST14595,2271
ST829,8529
ST829,29036
ST829,14528
ST829,2427
ST1581,25934
ST8926,4173
ST8926,22538
ST3222,4065
ST3222,4065
ST1581,26080
ST1115,27870
ST3222,4043
ST3222,4043
ST1096,2718
ST2256,4037
ST2256,32629
ST2256,6055
ST2256,4037
ST2256,34721
ST2256,23542
ST2256,6348
ST2256,22399
ST2256,22102
ST2256,3327
ST2256,2935
ST2256,2976
ST2256,23542
ST2256,4970
ST2256,18099
ST2256,4540
ST2256,18006
ST2256,23013
ST2256,1585
ST2256,4430
ST2256,23135
ST2256,30106
ST3230,18616
ST3230,25647
ST3230,11999
ST2256,3908
