ID,GENES,ST
SC1707,M10_R10_R59_S02_S03_V01_V02,ST2256
SC1716,M10_R10_R59_S02_S03_V01_V02,ST2256
SC1717,M10_R10_R59_S02_S03_V01_V02,ST2256
SC0594,M10_R10_S02_V02,ST8926
SC1380,M10_R10_S02_V02,ST8926
SC1706,M04_M10_R10_R59_S02_S03_V01_V02,ST2256
SC1708,M04_M10_R10_R59_S02_S03_V01_V02,ST2256
SC0987,M04_M05_M10_R02_R10_R15_R59_S01_S02_S03_V01_V02_V03,ST900
SC0941,M04_M05_M10_R02_R15_S01_S02_S03_V01_V02_V03,ST900
SC0391,M04_R04_R59_S03_V01,ST4009
SC0476,M04_R04_R59_S03_V01,ST2256
SC1705,M04_R04_R59_S03_V01,ST2256
SC0909,M04_R59_S03_V01,ST14595
SC1010,M04_R59_S03_V01,ST14595
SC0682,M04_R08_R37_R59_S03_V01,ST830
SC1718,M05_M10_R02_R10_S01_S02_V02_V03,ST3230
SC1065,M05_R02_R10_R15_S01_S02_V02_V03,ST829
SC0941,M05_R02_S01_V03,ST900
SC1325,M05_R02_S01_V03,ST1581
SC1512,M05_R02_S01_V03,ST1581
SC0341,M05_R05_S01_V03,ST1115
SC0388,M05_R05_S01_V03,ST1115
SC0485,M05_R05_S01_V03,ST1115
SC1591,M05_R05_S01_V03,ST1115
SC0012,R10_S02_V02,ST825
SC0569,R10_S02_V02,ST825
SC0576,R10_S02_V02,ST825
SC0853,R10_S02_V02,ST3232
SC0008,R04,ST3222
SC0009,R04,ST3222
SC0010,R04,ST3222
SC0086,R04,ST3222
SC0087,R04,ST3222
SC0209,R04,ST3222
SC0250,R04,ST3222
SC0435,R04,ST3222
SC0438,R04,ST3222
SC0481,R04,ST3222
SC0585,R04,ST3222
SC0725,R04,ST14593
SC0820,R04,ST3222
SC0850,R04,ST3222
SC0851,R04,ST3222
SC1416,R04,ST3222
SC1417,R04,ST3222
SC1612,R04,ST3222
SC1669,R04,ST3222
SC1689,R04,ST1096
SC1694,R04,ST2256
SC1725,R04,ST2256
SC1707,S03,ST2256
SC0947,S03,ST5734
SC0001,unkown,ST3072
SC0002,unkown,ST3072
SC0003,unkown,ST3072
SC0005,unkown,ST3072
SC0346,unkown,ST890
SC0385,unkown,ST3072
SC0387,unkown,ST825
SC0408,unkown,ST2256
SC0478,unkown,ST3072
SC0486,unkown,ST3232
SC0540,unkown,ST3072
SC0545,unkown,ST3072
SC0572,unkown,ST890
SC0579,unkown,ST825
SC0674,unkown,ST890
SC0708,unkown,ST7677
SC0709,unkown,ST3072
SC0761,unkown,ST8712
SC0840,unkown,ST1581
SC0861,unkown,ST7677
SC0987.2,unkown,ST900
SC1061,unkown,ST3072
SC1201,unkown,ST3072
SC1202,unkown,ST3072
SC1203,unkown,ST3072
SC1207,unkown,ST890
SC1423,unkown,ST3072
SC1424,unkown,ST3072
SC1440,unkown,ST3072
SC1494,unkown,ST3072
SC1496,unkown,ST3072
SC1497,unkown,ST3072
SC1558,unkown,ST8926
SC1589,unkown,ST3072
SC1592,unkown,ST3072
SC1599,unkown,ST3072
SC1617,unkown,ST3072
SC1618,unkown,ST3072
SC1624,unkown,ST3072
SC1631,unkown,ST3072
SC1633,unkown,ST3072
SC1673,unkown,ST890
SC1703,unkown,ST854
SC1718.2,unkown,ST3230
