ID,GENES,ST
SC0252,M10_R10_S02_V02,ST190
SC0369,M10_R10_S02_V02,ST50
SC0462,M10_R10_S02_V02,ST50
SC0583,M10_R10_S02_V02,ST422
SC0706,M10_R10_S02_V02,ST50
SC0797,M10_R10_S02_V02,ST4337
SC0904,M10_R10_S02_V02,ST50
SC1136,M10_R10_S02_V02,ST53
SC1378,M10_R10_S02_V02,ST422
SC1405,M10_R10_S02_V02,ST53
SC1619,M10_R10_S02_V02,ST50
SC1621,M10_R10_S02_V02,ST50
SC1227,M10_R10_S02_V02,ST45
SC1713,M10_R10_S02_V02,ST45
SC1604,M10_R10_S02_V02,ST474
SC0890,M10_R10_S02_V02,ST61
SC1521,M10_R10_S02_V02,ST51
SC0684,M10_R10_S02_V02,ST677
SC0083,M17_R04,ST704
SC0963,M04_M10_R10_R59_S02_S03_V01_V02,ST14186
SC1667,M04_M05_M10_R02_R10_R59_S01_S02_S03_V01_V02_V03,ST2357
SC0195,M04_M05_R02_R59_S01_S03_V01_V03,ST422
SC0217,M04_M05_R02_R59_S01_S03_V01_V03,ST520
SC0222,M04_M05_R02_R59_S01_S03_V01_V03,ST520
SC0474,M04_M05_R02_R59_S01_S03_V01_V03,ST422
SC0629,M04_M05_R02_R59_S01_S03_V01_V03,ST520
SC0665,M04_M05_R02_R59_S01_S03_V01_V03,ST53
SC0780,M04_M05_R02_R59_S01_S03_V01_V03,ST486
SC0897,M04_M05_R02_R59_S01_S03_V01_V03,ST53
SC1210,M04_M05_R02_R59_S01_S03_V01_V03,ST53
SC1211,M04_M05_R02_R59_S01_S03_V01_V03,ST53
SC1251,M04_M05_R02_R59_S01_S03_V01_V03,ST4337
SC1314,M04_M05_R02_R59_S01_S03_V01_V03,ST53
SC1327,M04_M05_R02_R59_S01_S03_V01_V03,ST53
SC1470,M04_M05_R02_R59_S01_S03_V01_V03,ST422
SC1574,M04_M05_R02_R59_S01_S03_V01_V03,ST422
SC1580,M04_M05_R02_R59_S01_S03_V01_V03,ST53
SC1700,M04_M05_R02_R59_S01_S03_V01_V03,ST422
SC1712,M04_M05_R02_R59_S01_S03_V01_V03,ST53
