ID,M04_R08_R37_R59_S03_V01,M04_R59_S03_V01,M05_R02_S01_V03,M05_R05_S01_V03,M06,M06_M06_R03_R04,M06_R03,M10_R10_S02_V02,M17_R04,ND,R04,R08,R10,R11,R15,R36,R59,R59_S03_V01
15AR0917_ST6964,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0014_ST520_p1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SC0014_ST520_p2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC0014_ST520_p3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0058_ST677,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0082_ST48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0083_ST704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SC0084_ST1030,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0088_ST61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0089_ST137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SC0134_ST535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SC0158_ST42_p1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0158_ST42_p2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0203_ST2026,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SC0212_ST3610_p1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0212_ST3610_p2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0222_ST520_p1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0222_ST520_p2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0250_ST3222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC0354_ST22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0388_ST1115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0391_ST4009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0417_ST48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0436_ST42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC0567_ST48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
