ID,Number
IncFIB|cluster_0,1
IncFIB|cluster_1,300
IncFIB|cluster_10,1
IncFIB|cluster_11,1
IncFIB|cluster_12,1
IncFIB|cluster_13,1
IncFIB|cluster_14,1
IncFIB|cluster_2,15
IncFIB|cluster_3,17
IncFIB|cluster_4,4
IncFIB|cluster_5,2
IncFIB|cluster_6,1
IncFIB|cluster_7,1
IncFIB|cluster_8,1
IncFIB|cluster_9,1
IncHI2A|cluster_0,1
IncI|cluster_0,1
IncI|cluster_1,2
IncI|cluster_10,1
IncI|cluster_11,1
IncI|cluster_12,1
IncI|cluster_13,1
IncI|cluster_14,1
IncI|cluster_2,1
IncI|cluster_3,1
IncI|cluster_4,1
IncI|cluster_5,1
IncI|cluster_6,1
IncI|cluster_7,1
IncI|cluster_8,1
IncI|cluster_9,1
IncK2/Z|cluster_0,1
IncK2/Z|cluster_1,1
IncN|cluster_0,12
IncN|cluster_1,1
IncN|cluster_2,1
IncN|cluster_3,1
IncX1|cluster_0,3
IncX4|cluster_0,1
IncX4|cluster_1,1
rep_1760|cluster_0,1
rep_1760|cluster_1,1
