ID,INC
IncFIB|cluster_1,1
IncFIB|cluster_3,1
IncFIB|cluster_2,1
IncN|cluster_0,5
IncFIB|cluster_4,1
IncX1|cluster_0,6
IncFIB|cluster_5,1
IncI|cluster_1,3
IncFIB|cluster_0,1
IncFIB|cluster_10,1
IncFIB|cluster_11,1
IncFIB|cluster_12,1
IncFIB|cluster_13,1
IncFIB|cluster_14,1
IncFIB|cluster_6,1
IncFIB|cluster_7,1
IncFIB|cluster_8,1
IncFIB|cluster_9,1
IncHI2A|cluster_0,2
IncI|cluster_0,3
IncI|cluster_10,3
IncI|cluster_11,3
IncI|cluster_12,3
IncI|cluster_13,3
IncI|cluster_14,3
IncI|cluster_2,3
IncI|cluster_3,3
IncI|cluster_4,3
IncI|cluster_5,3
IncI|cluster_6,3
IncI|cluster_7,3
IncI|cluster_8,3
IncI|cluster_9,3
IncK2/Z|cluster_0,4
IncK2/Z|cluster_1,4
IncN|cluster_1,5
IncN|cluster_2,5
IncN|cluster_3,5
IncX4|cluster_0,7
IncX4|cluster_1,7
rep_1760|cluster_0,8
rep_1760|cluster_1,8
