Old,New
SBV053_medaka_87778,IncI|cluster_9
SBV102_medaka_91679,IncI|cluster_5
SBV337_medaka_84830,IncI|cluster_14
SBV224_medaka_88055,IncI|cluster_8
SBV276_medaka_87507,IncI|cluster_11
SBV209_medaka_87623,IncI|cluster_10
SBV193_medaka_89695,IncI|cluster_7
SBV090_medaka_98009,IncI|cluster_3
SBV159_medaka_88935,IncK2/Z|cluster_1
SBV298_medaka_90963,IncI|cluster_6
SBV038_medaka_106163,IncI|cluster_2
SBV139_medaka_106191,IncI|cluster_1
SBV025_medaka_87656,IncK2/Z|cluster_0
SBV099_medaka_95518,IncI|cluster_4
SBV016_medaka_32599,IncX1|cluster_0
SBV077_medaka_35219,IncX4|cluster_0
SBV136_medaka_34290,IncN|cluster_3
SBV345_medaka_33558,IncX4|cluster_1
SBV215_medaka_86820,IncFIB|cluster_14
SBV112_medaka_93363,IncFIB|cluster_9
SBV026_medaka_93779,IncFIB|cluster_2
SBV140_medaka_93055,IncFIB|cluster_11
SBV132_medaka_271169,IncHI2A|cluster_0
SBV282_medaka_93647,IncFIB|cluster_7
SBV344_medaka_92548,IncFIB|cluster_13
SBV005_medaka_93702,IncFIB|cluster_1
SBV011_medaka_93720,IncFIB|cluster_3
SBV156_medaka_93685,IncFIB|cluster_4
SBV180_medaka_93273,IncFIB|cluster_10
SBV196_medaka_93402,IncFIB|cluster_8
SBV312_medaka_93684,IncFIB|cluster_5
SBV261_medaka_93651,IncFIB|cluster_6
SBV154_medaka_92919,IncFIB|cluster_12
SBV348_medaka_93847,IncFIB|cluster_0
SBV244_medaka_40638,rep_1760|cluster_0
SBV245_medaka_42913,IncN|cluster_0
SBV274_medaka_42906,IncN|cluster_1
SBV295_medaka_41571,IncN|cluster_2
SBV315_medaka_45154,rep_1760|cluster_1
SBV306_medaka_121987,IncI|cluster_0
SBV065_medaka_86870,IncI|cluster_13
SBV077_medaka_87060,IncI|cluster_12
