snp-dists 0.8.2,SGV002,SGV003,SGV004,SGV005,SGV006,SGV007,SGV008,SGV009,SGV010,SGV011,SGV012,SGV013,SGV014,SGV016,SGV017,SGV018,SGV019,SGV020,SGV021,SGV022,SGV023,SGV025,SGV026,SGV027,SGV028,SGV029,SGV030,SGV031,SGV032,SGV033,SGV034,SGV035,SGV036,SGV037,SGV038,SGV039,SGV040,SGV041,SGV042,SGV043,SGV044,SGV045,SGV046,SGV047,SGV048,SGV049,SGV050,SGV051,SGV052,SGV053,SGV054,SGV055,SGV056,SGV057,SGV058,SGV059,SGV060,SGV061,SGV062,SGV063,SGV064,SGV065,SGV066,SGV067,SGV068,SGV069,SGV070,SGV071,SGV072,SGV073,SGV075,SGV077,SGV078,SGV079,SGV080,SGV081,SGV082
SGV002,0,69,28405,272,600,375,270,301,286,304,399,74,415,285,263,28507,129,388,28410,28411,28376,28410,28409,27063,28410,27230,28286,28410,28412,28412,28413,28410,28410,28412,28412,28409,28414,28413,28411,28415,28413,28414,28413,28417,28346,28410,28412,28413,28410,28411,28410,28372,28412,28410,28410,28408,28417,28416,28410,28412,28413,28411,28413,28414,28418,28415,28412,28405,28411,28411,28410,28409,28410,28415,28413,28352,28146
SGV003,69,0,28402,268,606,376,264,304,283,302,403,75,416,294,266,28504,138,391,28407,28408,28373,28407,28406,27062,28407,27228,28282,28407,28409,28409,28410,28407,28407,28409,28409,28406,28411,28410,28408,28412,28410,28411,28410,28414,28343,28407,28409,28410,28407,28408,28407,28369,28409,28407,28407,28405,28414,28413,28407,28409,28410,28408,28410,28411,28415,28412,28409,28402,28408,28408,28407,28406,28407,28412,28410,28349,28143
SGV004,28405,28402,0,28281,29043,26299,28399,28003,28397,28297,26383,28375,26382,28078,28448,295,28380,26167,100,102,100,100,100,95,100,94,105,100,102,104,103,100,100,103,103,99,105,103,103,106,104,104,104,108,104,102,102,104,101,102,100,102,103,101,101,99,108,108,101,103,104,103,104,105,109,105,102,95,101,102,100,101,100,106,103,93,102
SGV005,272,268,28281,0,586,358,49,150,84,99,390,281,407,90,98,28384,253,362,28286,28287,28252,28286,28285,26959,28286,27120,28163,28286,28288,28288,28289,28286,28286,28288,28288,28285,28290,28289,28287,28291,28289,28290,28289,28293,28223,28286,28288,28288,28286,28287,28286,28248,28288,28286,28286,28284,28293,28292,28286,28288,28289,28287,28289,28290,28294,28291,28288,28281,28287,28287,28286,28285,28286,28291,28289,28229,28068
SGV006,600,606,29043,586,0,632,587,591,606,607,677,620,680,583,583,29205,602,654,29047,29050,29015,29047,29048,27707,29048,27877,28926,29047,29050,29051,29051,29048,29048,29049,29050,29047,29051,29050,29050,29053,29050,29052,29051,29054,28984,29049,29050,29051,29048,29049,29047,29010,29050,29048,29048,29046,29055,29055,29048,29050,29050,29050,29050,29052,29055,29052,29037,29043,29049,29049,29048,29049,29048,29052,29051,28989,28782
SGV007,375,376,26299,358,632,0,347,390,370,395,128,396,114,364,361,26398,361,81,26307,26308,26272,26307,26306,25171,26307,25264,26185,26307,26309,26309,26310,26307,26306,26309,26308,26306,26311,26309,26307,26311,26310,26310,26308,26314,26243,26307,26309,26308,26307,26308,26306,26270,26308,26308,26307,26305,26313,26312,26307,26309,26310,26307,26310,26309,26315,26312,26309,26302,26308,26307,26307,26306,26307,26312,26309,26251,26067
SGV008,270,264,28399,49,587,347,0,141,51,87,381,272,393,79,90,28503,241,359,28404,28405,28370,28404,28403,27064,28404,27225,28281,28404,28406,28406,28407,28404,28404,28406,28406,28403,28408,28407,28405,28409,28407,28408,28407,28411,28341,28404,28406,28406,28404,28405,28404,28366,28406,28404,28404,28402,28411,28410,28404,28406,28407,28405,28407,28408,28412,28409,28406,28399,28405,28405,28404,28403,28404,28409,28407,28347,28141
SGV009,301,304,28003,150,591,390,141,0,158,134,414,298,405,162,136,28099,281,404,28007,28009,27974,28007,28007,26715,28008,26839,27885,28008,28010,28009,28011,28008,28008,28009,28010,28007,28010,28010,28009,28012,28010,28012,28011,28014,27944,28008,28010,28011,28008,28009,28008,27970,28010,28008,28008,28006,28015,28014,28008,28009,28011,28009,28010,28012,28015,28013,28010,28003,28009,28009,28007,28007,28008,28013,28011,27950,27744
SGV010,286,283,28397,84,606,370,51,158,0,95,394,278,398,104,111,28499,255,383,28403,28404,28369,28403,28402,27060,28403,27220,28280,28403,28405,28405,28406,28403,28403,28405,28405,28402,28407,28406,28404,28408,28406,28407,28406,28409,28340,28403,28405,28404,28403,28404,28403,28365,28405,28403,28403,28401,28410,28409,28403,28405,28406,28404,28406,28407,28410,28408,28405,28398,28404,28404,28403,28402,28403,28408,28406,28346,28139
SGV011,304,302,28297,99,607,395,87,134,95,0,411,298,410,121,121,28407,274,403,28301,28303,28268,28301,28301,27009,28302,27132,28178,28302,28304,28303,28305,28302,28302,28303,28304,28301,28304,28304,28303,28306,28304,28306,28305,28308,28238,28302,28304,28304,28302,28303,28302,28264,28304,28302,28302,28300,28309,28308,28302,28303,28305,28303,28304,28306,28309,28307,28304,28297,28303,28303,28302,28301,28302,28307,28305,28244,28035
SGV012,399,403,26383,390,677,128,381,414,394,411,0,406,158,410,375,26482,384,148,26391,26392,26356,26391,26390,25257,26391,25350,26271,26391,26393,26393,26394,26391,26390,26393,26392,26390,26395,26393,26391,26395,26394,26394,26392,26398,26325,26391,26393,26392,26391,26392,26390,26353,26392,26392,26391,26389,26397,26396,26391,26393,26394,26391,26394,26393,26399,26396,26393,26386,26392,26391,26391,26390,26391,26396,26393,26333,26140
SGV013,74,75,28375,281,620,396,272,298,278,298,406,0,415,304,269,28486,142,405,28379,28380,28345,28379,28378,27046,28379,27213,28254,28379,28381,28381,28382,28379,28379,28381,28381,28378,28383,28382,28380,28384,28382,28383,28382,28386,28315,28379,28381,28382,28379,28380,28379,28341,28381,28379,28379,28377,28386,28385,28379,28381,28382,28380,28382,28383,28387,28384,28381,28374,28380,28380,28379,28378,28379,28384,28382,28321,28115
SGV014,415,416,26382,407,680,114,393,405,398,410,158,415,0,412,391,26488,401,142,26391,26392,26356,26391,26390,25255,26391,25344,26270,26390,26393,26393,26394,26391,26390,26393,26392,26390,26394,26393,26391,26395,26394,26394,26392,26398,26325,26391,26393,26391,26391,26392,26389,26353,26392,26392,26391,26389,26397,26396,26391,26393,26393,26391,26394,26393,26399,26395,26393,26386,26392,26391,26391,26390,26391,26395,26393,26332,26145
SGV016,285,294,28078,90,583,364,79,162,104,121,410,304,412,0,122,28195,265,382,28080,28082,28047,28080,28079,26804,28081,26934,27957,28081,28083,28082,28084,28080,28080,28082,28083,28079,28084,28083,28082,28085,28083,28085,28084,28087,28074,28081,28083,28085,28081,28082,28080,28082,28083,28082,28081,28079,28088,28087,28080,28082,28084,28082,28083,28085,28088,28086,28083,28076,28082,28082,28081,28080,28081,28086,28084,28075,27936
SGV017,263,266,28448,98,583,361,90,136,111,121,375,269,391,122,0,28501,242,371,28453,28454,28419,28453,28452,27111,28453,27260,28330,28453,28455,28455,28456,28453,28453,28455,28455,28452,28457,28456,28454,28458,28456,28457,28456,28460,28389,28453,28455,28457,28453,28454,28453,28415,28455,28453,28453,28451,28460,28459,28453,28455,28456,28454,28456,28457,28461,28458,28455,28448,28454,28454,28453,28452,28453,28458,28456,28394,28160
SGV018,28507,28504,295,28384,29205,26398,28503,28099,28499,28407,26482,28486,26488,28195,28501,0,28484,26261,290,292,290,290,290,274,290,279,294,290,292,294,293,290,290,293,292,289,294,293,293,296,294,294,294,298,294,292,292,294,290,291,290,291,292,291,290,289,298,298,290,293,293,293,292,295,299,293,292,285,291,291,290,291,290,295,293,281,287
SGV019,129,138,28380,253,602,361,241,281,255,274,384,142,401,265,242,28484,0,367,28385,28386,28351,28385,28384,27039,28385,27207,28261,28385,28387,28387,28388,28385,28385,28387,28387,28384,28389,28388,28386,28390,28388,28389,28388,28392,28321,28385,28387,28388,28385,28386,28385,28347,28387,28385,28385,28383,28392,28391,28385,28387,28388,28386,28388,28389,28393,28390,28387,28380,28386,28386,28385,28384,28385,28390,28388,28326,28122
