snp-dists 0.8.2,SGV004,SGV021,SGV022,SGV023,SGV025,SGV026,SGV028,SGV031,SGV032,SGV033,SGV034,SGV035,SGV036,SGV037,SGV038,SGV039,SGV040,SGV041,SGV042,SGV043,SGV044,SGV045,SGV046,SGV047,SGV048,SGV049,SGV050,SGV051,SGV052,SGV053,SGV054,SGV055,SGV056,SGV057,SGV058,SGV059,SGV060,SGV061,SGV062,SGV063,SGV064,SGV065,SGV066,SGV067,SGV068,SGV069,SGV070,SGV071,SGV072,SGV073,SGV075,SGV077,SGV078,SGV079,SGV080
SGV004,0,32,35,34,32,32,35,33,34,35,36,33,32,34,35,32,36,34,34,33,35,38,34,36,34,35,35,34,35,36,32,36,34,35,35,33,39,38,34,34,36,35,35,36,36,38,32,32,36,32,33,34,35,33,34
SGV021,32,0,3,2,0,0,3,1,2,3,4,1,0,2,3,0,4,2,2,1,3,6,2,4,2,3,3,2,3,4,0,4,2,3,3,1,7,6,2,2,4,3,3,4,4,6,0,0,4,0,1,2,3,1,2
SGV022,35,3,0,5,3,3,6,4,5,6,7,4,3,5,6,3,7,5,5,4,6,9,5,7,5,6,6,5,6,7,3,7,5,6,6,4,10,9,5,5,7,6,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV023,34,2,5,0,2,2,5,3,4,5,6,3,2,4,1,2,6,4,4,3,5,8,4,6,4,5,5,4,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,6,6,8,2,2,6,2,3,4,5,3,4
SGV025,32,0,3,2,0,0,3,1,2,3,4,1,0,2,3,0,4,2,2,1,3,6,2,4,2,3,3,2,3,4,0,4,2,3,3,1,7,6,2,2,4,3,3,4,4,6,0,0,4,0,1,2,3,1,2
SGV026,32,0,3,2,0,0,3,1,2,3,4,1,0,2,3,0,4,2,2,1,3,6,2,4,2,3,3,2,3,4,0,4,2,3,3,1,7,6,2,2,4,3,3,4,4,6,0,0,4,0,1,2,3,1,2
SGV028,35,3,6,5,3,3,0,4,5,6,1,4,3,5,6,3,7,5,5,4,6,3,5,7,5,0,6,5,6,7,3,7,5,6,6,4,4,9,5,5,7,6,6,7,7,9,3,3,1,3,4,5,6,4,5
SGV031,33,1,4,3,1,1,4,0,3,4,5,2,1,3,4,1,5,3,3,2,4,7,3,5,3,4,4,3,4,5,1,5,3,4,4,2,8,7,3,3,5,4,4,5,5,5,1,1,5,1,2,3,4,2,3
SGV032,34,2,5,4,2,2,5,3,0,5,6,3,2,4,5,2,6,4,4,3,5,8,4,6,4,5,5,4,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,6,6,8,2,2,6,2,3,4,5,3,4
SGV033,35,3,6,5,3,3,6,4,5,0,7,4,3,5,6,3,7,5,5,4,6,9,5,7,5,6,6,5,6,7,3,7,5,6,6,4,10,9,5,3,7,6,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV034,36,4,7,6,4,4,1,5,6,7,0,5,4,6,7,4,8,6,6,5,7,4,6,8,6,1,7,6,7,8,4,8,6,7,7,5,3,10,6,6,8,7,7,8,8,10,4,4,2,4,5,6,7,5,6
SGV035,33,1,4,3,1,1,4,2,3,4,5,0,1,1,4,1,5,3,3,2,4,7,3,3,3,4,4,3,4,5,1,5,3,4,4,2,8,7,3,3,5,4,4,5,3,7,1,1,5,1,2,3,4,2,3
SGV036,32,0,3,2,0,0,3,1,2,3,4,1,0,2,3,0,4,2,2,1,3,6,2,4,2,3,3,2,3,4,0,4,2,3,3,1,7,6,2,2,4,3,3,4,4,6,0,0,4,0,1,2,3,1,2
SGV037,34,2,5,4,2,2,5,3,4,5,6,1,2,0,5,2,6,4,4,3,5,8,4,4,4,5,5,4,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,6,4,8,2,2,6,2,3,4,5,3,4
SGV038,35,3,6,1,3,3,6,4,5,6,7,4,3,5,0,3,7,5,5,4,6,9,5,7,5,6,6,5,6,7,3,7,5,6,6,4,10,9,5,5,7,6,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV039,32,0,3,2,0,0,3,1,2,3,4,1,0,2,3,0,4,2,2,1,3,6,2,4,2,3,3,2,3,4,0,4,2,3,3,1,7,6,2,2,4,3,3,4,4,6,0,0,4,0,1,2,3,1,2
SGV040,36,4,7,6,4,4,7,5,6,7,8,5,4,6,7,4,0,6,6,5,7,10,6,8,6,7,7,6,7,8,4,8,6,7,7,5,11,10,6,6,8,7,7,8,8,10,4,4,8,4,5,6,7,5,6
SGV041,34,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,0,4,3,3,8,4,6,4,5,5,4,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,6,6,8,2,2,6,2,3,4,5,3,4
SGV042,34,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,4,0,3,5,8,4,6,4,5,5,4,5,6,2,6,4,5,5,3,9,6,4,4,6,3,5,6,6,8,2,2,6,2,3,4,5,3,4
SGV043,33,1,4,3,1,1,4,2,3,4,5,2,1,3,4,1,5,3,3,0,4,7,3,5,3,4,4,3,4,5,1,5,3,4,4,2,8,7,3,3,5,4,4,5,5,7,1,1,5,1,2,3,4,2,3
SGV044,35,3,6,5,3,3,6,4,5,6,7,4,3,5,6,3,7,3,5,4,0,9,5,7,5,6,6,5,6,7,3,7,5,6,6,4,10,9,5,5,7,6,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV045,38,6,9,8,6,6,3,7,8,9,4,7,6,8,9,6,10,8,8,7,9,0,8,10,8,3,9,8,9,10,6,10,8,9,9,7,7,12,8,8,10,9,9,10,10,12,6,6,4,6,7,8,9,7,8
SGV046,34,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,4,4,3,5,8,0,6,0,5,5,4,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,2,6,8,2,2,6,2,3,2,5,3,4
SGV047,36,4,7,6,4,4,7,5,6,7,8,3,4,4,7,4,8,6,6,5,7,10,6,0,6,7,7,6,7,8,4,8,6,7,7,5,11,10,6,6,8,7,7,8,0,10,4,4,8,4,5,6,7,5,6
SGV048,34,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,4,4,3,5,8,0,6,0,5,5,4,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,2,6,8,2,2,6,2,3,2,5,3,4
SGV049,35,3,6,5,3,3,0,4,5,6,1,4,3,5,6,3,7,5,5,4,6,3,5,7,5,0,6,5,6,7,3,7,5,6,6,4,4,9,5,5,7,6,6,7,7,9,3,3,1,3,4,5,6,4,5
SGV050,35,3,6,5,3,3,6,4,5,6,7,4,3,5,6,3,7,5,5,4,6,9,5,7,5,6,0,5,6,7,3,7,5,6,6,4,10,9,5,5,7,6,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV051,34,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,4,4,3,5,8,4,6,4,5,5,0,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,6,6,8,2,2,6,2,3,4,5,3,4
