ID,Source,Roary_OG_label,Mob_input_file,sample,Bandage_input_file,size,gc,Mob_prediction,Circularisable,Marker
SGV004_ST654_p1,Bovine,SGV004_medaka_3827,SGV004_contig_2,SGV004,SGV004|3827,3827,0.439,mobilisable,circular,rep_cluster_2335
SGV004_ST654_p2,Bovine,SGV004_medaka_86929,SGV004_contig_3,SGV004,SGV004|86929,86929,0.502,conjugative,circular,IncI-gamma/K1
SGV004_ST654_p3,Bovine,SGV004_medaka_58058,SGV004_contig_4,SGV004,SGV004|58058,58058,0.422,conjugative,circular,IncI2
SGV004_ST654_p4,Bovine,SGV004_medaka_12138,SGV004_contig_5,SGV004,SGV004|12138,12138,0.573,mobilisable,circular,rep_cluster_2335
SGV006_ST516_p1,Human,SGV006_medaka_19297,SGV006_contig_2,SGV006,SGV006|19297,19297,0.488,mobilisable,no,Col8282
SGV006_ST516_p2,Human,SGV006_medaka_147078,SGV006_contig_4,SGV006,SGV006|147078,147078,0.55,conjugative,circular,IncFIC/IncFII
SGV006_ST516_p3,Human,SGV006_medaka_14653,SGV006_contig_5,SGV006,SGV006|14653,14653,0.555,mobilisable,circular,rep_2350
SGV008_ST516,Human,SGV008_medaka_11016,SGV008_contig_2,SGV008,SGV008|11016,11016,0.617,mobilisable,circular,IncQ1
SGV011_ST516,Human,SGV011_medaka_9339,SGV011_contig_2,SGV011,SGV011|9339,9339,0.518,mobilisable,circular,Col156
SGV012_ST516,Human,SGV012_medaka_92601,SGV012_contig_2,SGV012,SGV012|92601,92601,0.529,conjugative,circular,"IncFIC,IncFII"
SGV016_ST516,Human,SGV016_medaka_3376,SGV016_contig_3,SGV016,SGV016|3376,3376,0.522,mobilisable,no,Col156
SGV018_ST2227_p1,Human,SGV018_medaka_10635,SGV018_contig_2,SGV018,SGV018|10635,10635,0.487,mobilisable,circular,rep_cluster_2350
SGV018_ST2227_p2,Human,SGV018_medaka_5292,SGV018_contig_4,SGV018,SGV018|5292,5292,0.472,mobilisable,circular,Col156
SGV019_ST516,Poultry,SGV019_medaka_87080,SGV019_contig_2,SGV019,SGV019|87080,87080,0.502,conjugative,circular,IncFII
SGV020_ST516,Human,SGV020_medaka_30868,SGV020_contig_2,SGV020,SGV020|30868,30868,0.515,non-mobilisable,circular,IncX1
SGV022_ST654,Bovine,SGV022_medaka_4662,SGV022_contig_2,SGV022,SGV022|4662,4662,0.457,non-mobilisable,circular,"rep_cluster_2350,rep_cluster_2370"
SGV025_ST654,Bovine,SGV025_medaka_87876,SGV025_contig_2,SGV025,SGV025|87876,87876,0.5,conjugative,circular,IncI-gamma/K1
SGV029_ST654_p1,Bovine,SGV029_medaka_6920,SGV029_contig_1,SGV029,SGV029|6920,6920,0.539,non-mobilisable,no,ND
SGV029_ST654_p2,Bovine,SGV029_medaka_85491,SGV029_contig_12_139_173,SGV029,SGV029|85491,85491,0.49,conjugative,no,IncI-gamma/K1
SGV032_ST654,Human,SGV032_medaka_87875,SGV032_contig_2,SGV032,SGV032|87875,87875,lse),conjugative,circular,IncI-gamma/K1
SGV033_ST654,Human,SGV033_medaka_88406,SGV033_contig_2,SGV033,SGV033|88406,88406,0.501,conjugative,circular,IncI-gamma/K1
SGV046_ST654,Bovine,SGV046_medaka_55749,SGV046_contig_2,SGV046,SGV046|55749,55749,0.423,conjugative,circular,IncI2
SGV048_ST654,Bovine,SGV048_medaka_55953,SGV048_contig_2,SGV048,SGV048|55953,55953,0.423,conjugative,circular,IncI2
SGV064_ST654,Bovine,SGV064_medaka_91648,SGV064_contig_2,SGV064,SGV064|91648,91648,0.499,conjugative,circular,IncI-gamma/K1
SGV068_ST654,Canine,SGV068_medaka_37097,SGV068_contig_2,SGV068,SGV068|37097,37097,0.618,mobilisable,circular,rep_cluster_435
SGV080_ST654,Equine,SGV080_medaka_58071,SGV080_contig_2,SGV080,SGV080|58071,58071,0.425,conjugative,circular,IncI2
SGV081_STunknown_p1,Bovine,SGV081_medaka_92612,SGV081_contig_23,SGV081,SGV081|92612,92612,0.529,conjugative,circular,"IncFIC,IncFII"
SGV081_STunknown_p2,Bovine,SGV081_medaka_87335,SGV081_contig_27,SGV081,SGV081|87335,87335,0.501,conjugative,circular,IncI-gamma/K1
SGV082_STunknown_p1,Bovine,SGV082_medaka_87075,SGV082_contig_20,SGV082,SGV082|87075,87075,0.502,conjugative,circular,IncFII
SGV082_STunknown_p2,Bovine,SGV082_medaka_91836,SGV082_contig_21,SGV082,SGV082|91836,91836,0.498,conjugative,circular,IncI-gamma/K1
