ID,gc_plasmid,gc_chromosome
IncFIB|cluster_1,52.6,52.24
IncFIB|cluster_3,52.6,52.28
IncFIB|cluster_2,52.6,52.23
IncN|cluster_0,52.3,52.26
IncFIB|cluster_4,52.6,52.26
IncX1|cluster_0,41.3,52.15
IncFIB|cluster_5,52.6,52.26
IncI|cluster_1,50.4,52.27
IncFIB|cluster_0,52.55,52.29
IncFIB|cluster_10,52.6,52.26
IncFIB|cluster_11,52.63,52.27
IncFIB|cluster_12,52.54,52.26
IncFIB|cluster_13,52.82,52.27
IncFIB|cluster_14,52.78,52.25
IncFIB|cluster_6,52.6,52.3
IncFIB|cluster_7,52.61,52.26
IncFIB|cluster_8,52.61,52.26
IncFIB|cluster_9,52.63,52.24
IncHI2A|cluster_0,47.3,52.27
IncI|cluster_0,49.67,52.26
IncI|cluster_10,50.04,52.27
IncI|cluster_11,50.14,52.27
IncI|cluster_12,50.07,52.26
IncI|cluster_13,50.08,52.26
IncI|cluster_14,50.03,52.26
IncI|cluster_2,50.37,52.26
IncI|cluster_3,48.82,52.26
IncI|cluster_4,49.03,52.27
IncI|cluster_5,49.91,52.27
IncI|cluster_6,50.27,52.24
IncI|cluster_7,50.29,52.27
IncI|cluster_8,50.25,52.26
IncI|cluster_9,50.06,52.25
IncK2/Z|cluster_0,50.14,52.26
IncK2/Z|cluster_1,49.52,52.25
IncN|cluster_1,52.3,52.27
IncN|cluster_2,52.11,52.26
IncN|cluster_3,48.76,52.27
IncX4|cluster_0,41.57,52.26
IncX4|cluster_1,41.61,52.26
rep_1760|cluster_0,50.79,52.19
rep_1760|cluster_1,50.68,52.27
