snp.dists.0.8.2,variable,value,same_source
SGV004,SGV004,0,0
SGV021,SGV004,100,0
SGV022,SGV004,102,0
SGV023,SGV004,100,0
SGV025,SGV004,100,0
SGV026,SGV004,100,0
SGV028,SGV004,100,0
SGV029,SGV004,94,0
SGV030,SGV004,105,0
SGV031,SGV004,100,0
SGV032,SGV004,102,1
SGV033,SGV004,104,1
SGV034,SGV004,103,1
SGV035,SGV004,100,1
SGV036,SGV004,100,0
SGV037,SGV004,103,0
SGV038,SGV004,103,0
SGV039,SGV004,99,1
SGV040,SGV004,105,0
SGV041,SGV004,103,0
SGV042,SGV004,103,0
SGV043,SGV004,106,0
SGV044,SGV004,104,0
SGV045,SGV004,104,1
SGV046,SGV004,104,0
SGV047,SGV004,108,0
SGV048,SGV004,104,0
SGV049,SGV004,102,1
SGV050,SGV004,102,1
SGV051,SGV004,104,0
SGV052,SGV004,101,1
SGV053,SGV004,102,0
SGV054,SGV004,100,1
SGV055,SGV004,102,0
SGV056,SGV004,103,1
SGV057,SGV004,101,0
SGV058,SGV004,101,1
SGV059,SGV004,99,0
SGV060,SGV004,108,0
SGV061,SGV004,108,1
SGV062,SGV004,101,0
SGV063,SGV004,103,1
SGV064,SGV004,104,0
SGV065,SGV004,103,1
SGV066,SGV004,104,1
SGV067,SGV004,105,0
SGV068,SGV004,109,1
SGV069,SGV004,105,0
SGV070,SGV004,102,1
SGV071,SGV004,95,1
SGV072,SGV004,101,1
SGV073,SGV004,102,1
SGV075,SGV004,100,0
SGV077,SGV004,101,1
SGV078,SGV004,100,0
SGV079,SGV004,106,1
SGV080,SGV004,103,1
SGV004,SGV021,100,0
SGV021,SGV021,0,0
SGV022,SGV021,12,0
SGV023,SGV021,12,0
SGV025,SGV021,0,0
SGV026,SGV021,2,0
SGV028,SGV021,12,0
SGV029,SGV021,1,0
SGV030,SGV021,5,0
SGV031,SGV021,12,0
SGV032,SGV021,14,1
SGV033,SGV021,4,1
SGV034,SGV021,15,1
SGV035,SGV021,2,1
SGV036,SGV021,2,0
SGV037,SGV021,3,0
SGV038,SGV021,15,0
SGV039,SGV021,1,1
SGV040,SGV021,15,0
SGV041,SGV021,3,0
SGV042,SGV021,13,0
SGV043,SGV021,6,0
SGV044,SGV021,4,0
SGV045,SGV021,16,1
SGV046,SGV021,14,0
SGV047,SGV021,8,0
SGV048,SGV021,13,0
SGV049,SGV021,14,1
SGV050,SGV021,12,1
SGV051,SGV021,17,0
SGV052,SGV021,11,1
SGV053,SGV021,12,0
SGV054,SGV021,2,1
SGV055,SGV021,12,0
SGV056,SGV021,13,1
SGV057,SGV021,11,0
SGV058,SGV021,11,1
SGV059,SGV021,9,0
SGV060,SGV021,20,0
SGV061,SGV021,18,1
SGV062,SGV021,9,0
SGV063,SGV021,3,1
SGV064,SGV021,16,0
SGV065,SGV021,13,1
SGV066,SGV021,4,1
SGV067,SGV021,15,0
SGV068,SGV021,9,1
SGV069,SGV021,17,0
SGV070,SGV021,12,1
SGV071,SGV021,5,1
SGV072,SGV021,13,1
SGV073,SGV021,12,1
SGV075,SGV021,10,0
SGV077,SGV021,11,1
SGV078,SGV021,10,0
SGV079,SGV021,19,1
SGV080,SGV021,13,1
SGV004,SGV022,102,0
SGV021,SGV022,12,0
SGV022,SGV022,0,0
SGV023,SGV022,14,0
SGV025,SGV022,12,0
SGV026,SGV022,12,0
SGV028,SGV022,14,0
SGV029,SGV022,13,0
SGV030,SGV022,17,0
SGV031,SGV022,14,0
SGV032,SGV022,16,1
SGV033,SGV022,16,1
SGV034,SGV022,17,1
SGV035,SGV022,12,1
SGV036,SGV022,12,0
SGV037,SGV022,15,0
SGV038,SGV022,17,0
SGV039,SGV022,11,1
SGV040,SGV022,19,0
SGV041,SGV022,15,0
SGV042,SGV022,15,0
SGV043,SGV022,18,0
SGV044,SGV022,16,0
SGV045,SGV022,18,1
SGV046,SGV022,12,0
SGV047,SGV022,20,0
SGV048,SGV022,12,0
SGV049,SGV022,16,1
SGV050,SGV022,10,1
SGV051,SGV022,19,0
SGV052,SGV022,9,1
SGV053,SGV022,10,0
SGV054,SGV022,12,1
SGV055,SGV022,11,0
SGV056,SGV022,11,1
SGV057,SGV022,9,0
SGV058,SGV022,9,1
SGV059,SGV022,7,0
SGV060,SGV022,22,0
SGV061,SGV022,20,1
SGV062,SGV022,9,0
SGV063,SGV022,15,1
SGV064,SGV022,18,0
SGV065,SGV022,15,1
SGV066,SGV022,16,1
SGV067,SGV022,13,0
SGV068,SGV022,21,1
SGV069,SGV022,19,0
SGV070,SGV022,10,1
SGV071,SGV022,7,1
SGV072,SGV022,15,1
SGV073,SGV022,10,1
SGV075,SGV022,8,0
SGV077,SGV022,9,1
SGV078,SGV022,8,0
SGV079,SGV022,21,1
SGV080,SGV022,11,1
SGV004,SGV023,100,0
SGV021,SGV023,12,0
SGV022,SGV023,14,0
SGV023,SGV023,0,0
SGV025,SGV023,12,0
SGV026,SGV023,12,0
SGV028,SGV023,6,0
SGV029,SGV023,13,0
SGV030,SGV023,16,0
SGV031,SGV023,4,0
SGV032,SGV023,6,1
SGV033,SGV023,16,1
SGV034,SGV023,9,1
SGV035,SGV023,12,1
SGV036,SGV023,12,0
SGV037,SGV023,15,0
SGV038,SGV023,3,0
SGV039,SGV023,11,1
SGV040,SGV023,9,0
SGV041,SGV023,15,0
SGV042,SGV023,15,0
SGV043,SGV023,18,0
SGV044,SGV023,16,0
SGV045,SGV023,10,1
SGV046,SGV023,16,0
SGV047,SGV023,20,0
SGV048,SGV023,16,0
SGV049,SGV023,8,1
SGV050,SGV023,14,1
SGV051,SGV023,9,0
SGV052,SGV023,13,1
SGV053,SGV023,14,0
SGV054,SGV023,12,1
SGV055,SGV023,15,0
SGV056,SGV023,15,1
SGV057,SGV023,13,0
SGV058,SGV023,13,1
SGV059,SGV023,11,0
SGV060,SGV023,14,0
SGV061,SGV023,20,1
SGV062,SGV023,13,0
SGV063,SGV023,15,1
SGV064,SGV023,8,0
SGV065,SGV023,15,1
SGV066,SGV023,16,1
SGV067,SGV023,17,0
SGV068,SGV023,21,1
SGV069,SGV023,9,0
SGV070,SGV023,14,1
SGV071,SGV023,7,1
SGV072,SGV023,7,1
SGV073,SGV023,14,1
SGV075,SGV023,12,0
SGV077,SGV023,13,1
SGV078,SGV023,12,0
SGV079,SGV023,11,1
SGV080,SGV023,15,1
SGV004,SGV025,100,0
SGV021,SGV025,0,0
SGV022,SGV025,12,0
SGV023,SGV025,12,0
SGV025,SGV025,0,0
SGV026,SGV025,2,0
SGV028,SGV025,12,0
SGV029,SGV025,1,0
SGV030,SGV025,5,0
SGV031,SGV025,12,0
SGV032,SGV025,14,1
SGV033,SGV025,4,1
SGV034,SGV025,15,1
SGV035,SGV025,2,1
SGV036,SGV025,2,0
SGV037,SGV025,3,0
SGV038,SGV025,15,0
SGV039,SGV025,1,1
SGV040,SGV025,15,0
SGV041,SGV025,3,0
SGV042,SGV025,13,0
SGV043,SGV025,6,0
SGV044,SGV025,4,0
SGV045,SGV025,16,1
SGV046,SGV025,14,0
SGV047,SGV025,8,0
SGV048,SGV025,13,0
SGV049,SGV025,14,1
SGV050,SGV025,12,1
SGV051,SGV025,17,0
SGV052,SGV025,11,1
SGV053,SGV025,12,0
SGV054,SGV025,2,1
SGV055,SGV025,12,0
SGV056,SGV025,13,1
SGV057,SGV025,11,0
SGV058,SGV025,11,1
SGV059,SGV025,9,0
SGV060,SGV025,20,0
SGV061,SGV025,18,1
SGV062,SGV025,9,0
SGV063,SGV025,3,1
