snp.dists.0.8.2,ST1,variable,ST2,value
Reference,377,Reference,377,0
SBV001_plate05,1499,Reference,377,1004
SBV002_plate01,1499,Reference,377,1269
SBV003_plate01,1499,Reference,377,1122
SBV004_plate01,1499,Reference,377,1071
SBV005_plate01,377,Reference,377,0
SBV006_plate01,1499,Reference,377,1056
SBV007_plate01,377,Reference,377,56
SBV008_plate01,1499,Reference,377,1120
SBV009_plate01,1499,Reference,377,1152
SBV010_plate01,377,Reference,377,63
SBV011_plate01,377,Reference,377,90
SBV012_plate01,1499,Reference,377,992
SBV013_plate01,1499,Reference,377,986
SBV014_plate01,1499,Reference,377,1160
SBV015_plate01,1499,Reference,377,1140
SBV016_plate01,8346,Reference,377,132
SBV017_plate01,1058,Reference,377,1082
SBV018_plate01,1499,Reference,377,1252
SBV019_plate01,377,Reference,377,69
SBV020_plate01,1499,Reference,377,1001
SBV021_plate01,377,Reference,377,74
SBV022_plate01,377,Reference,377,45
SBV023_plate01,377,Reference,377,53
SBV024_plate01,377,Reference,377,69
SBV025_plate01,377,Reference,377,49
SBV026_plate01,2640,Reference,377,312
SBV027_plate01,377,Reference,377,48
SBV028_plate01,1499,Reference,377,989
SBV029_plate01,377,Reference,377,69
SBV030_plate01,377,Reference,377,51
SBV031_plate01,1499,Reference,377,996
SBV032_plate01,377,Reference,377,72
SBV033_plate01,377,Reference,377,53
SBV035_plate01,377,Reference,377,51
SBV036_plate01,377,Reference,377,53
SBV037_plate01,377,Reference,377,51
SBV038_plate01,377,Reference,377,55
SBV039_plate01,377,Reference,377,55
SBV040_plate03,377,Reference,377,56
SBV041_plate01,377,Reference,377,52
SBV042_plate01,377,Reference,377,52
SBV043_plate01,377,Reference,377,55
SBV044_plate01,377,Reference,377,54
SBV045_plate01,377,Reference,377,51
SBV046_plate01,377,Reference,377,53
SBV047_plate01,377,Reference,377,52
SBV048_plate01,377,Reference,377,51
SBV049_plate01,377,Reference,377,51
SBV050_plate01,377,Reference,377,53
SBV051_plate01,377,Reference,377,51
SBV052_plate01,377,Reference,377,55
SBV053_plate01,377,Reference,377,51
SBV054_plate01,377,Reference,377,54
SBV055_plate01,377,Reference,377,54
SBV056_plate01,-,Reference,377,53
SBV057_plate01,377,Reference,377,49
SBV058_plate01,377,Reference,377,56
SBV059_plate01,377,Reference,377,52
SBV060_plate01,377,Reference,377,52
SBV061_plate01,377,Reference,377,53
SBV062_plate01,377,Reference,377,55
SBV063_plate01,377,Reference,377,51
SBV064_plate01,377,Reference,377,53
SBV065_plate03,377,Reference,377,55
SBV067_plate01,377,Reference,377,53
SBV068_plate01,377,Reference,377,55
SBV069_plate01,377,Reference,377,52
SBV070_plate01,377,Reference,377,54
SBV071_plate01,377,Reference,377,51
SBV072_plate02,377,Reference,377,59
SBV073_plate03,377,Reference,377,56
SBV074_plate03,377,Reference,377,53
SBV075_plate02,377,Reference,377,55
SBV076_plate02,377,Reference,377,51
SBV077_plate02,377,Reference,377,52
SBV078_plate02,377,Reference,377,54
SBV079_plate02,377,Reference,377,53
SBV080_plate02,377,Reference,377,54
SBV081_plate02,377,Reference,377,52
