snp.dists.0.8.2,ST1,variable,ST2,value
SGV002,516,SGV002,516,0
SGV003,516,SGV002,516,69
SGV004,654,SGV002,516,28405
SGV005,516,SGV002,516,272
SGV006,516,SGV002,516,600
SGV007,516,SGV002,516,375
SGV008,516,SGV002,516,270
SGV009,516,SGV002,516,301
SGV010,516,SGV002,516,286
SGV011,516,SGV002,516,304
SGV012,516,SGV002,516,399
SGV013,516,SGV002,516,74
SGV014,516,SGV002,516,415
SGV016,516,SGV002,516,285
SGV017,516,SGV002,516,263
SGV018,2227,SGV002,516,28507
SGV019,516,SGV002,516,129
SGV020,516,SGV002,516,388
SGV021,654,SGV002,516,28410
SGV022,654,SGV002,516,28411
SGV023,654,SGV002,516,28376
SGV025,654,SGV002,516,28410
SGV026,654,SGV002,516,28409
SGV027,0,SGV002,516,27063
SGV028,654,SGV002,516,28410
SGV029,654,SGV002,516,27230
SGV030,654,SGV002,516,28286
SGV031,654,SGV002,516,28410
SGV032,654,SGV002,516,28412
SGV033,654,SGV002,516,28412
SGV034,654,SGV002,516,28413
SGV035,654,SGV002,516,28410
SGV036,654,SGV002,516,28410
SGV037,654,SGV002,516,28412
SGV038,654,SGV002,516,28412
SGV039,654,SGV002,516,28409
SGV040,654,SGV002,516,28414
SGV041,654,SGV002,516,28413
SGV042,654,SGV002,516,28411
SGV043,654,SGV002,516,28415
SGV044,654,SGV002,516,28413
SGV045,654,SGV002,516,28414
SGV046,654,SGV002,516,28413
SGV047,654,SGV002,516,28417
SGV048,654,SGV002,516,28346
SGV049,654,SGV002,516,28410
SGV050,654,SGV002,516,28412
SGV051,654,SGV002,516,28413
SGV052,654,SGV002,516,28410
SGV053,654,SGV002,516,28411
SGV054,654,SGV002,516,28410
SGV055,654,SGV002,516,28372
SGV056,654,SGV002,516,28412
SGV057,654,SGV002,516,28410
SGV058,654,SGV002,516,28410
SGV059,654,SGV002,516,28408
SGV060,654,SGV002,516,28417
SGV061,654,SGV002,516,28416
SGV062,654,SGV002,516,28410
SGV063,654,SGV002,516,28412
SGV064,654,SGV002,516,28413
SGV065,654,SGV002,516,28411
SGV066,654,SGV002,516,28413
SGV067,654,SGV002,516,28414
SGV068,654,SGV002,516,28418
SGV069,654,SGV002,516,28415
SGV070,654,SGV002,516,28412
SGV071,654,SGV002,516,28405
SGV072,654,SGV002,516,28411
SGV073,654,SGV002,516,28411
SGV075,654,SGV002,516,28410
SGV077,654,SGV002,516,28409
SGV078,654,SGV002,516,28410
SGV079,654,SGV002,516,28415
SGV080,654,SGV002,516,28413
SGV081,0,SGV002,516,28352
SGV082,0,SGV002,516,28146
SGV002,516,SGV003,516,69
SGV003,516,SGV003,516,0
SGV004,654,SGV003,516,28402
SGV005,516,SGV003,516,268
SGV006,516,SGV003,516,606
SGV007,516,SGV003,516,376
SGV008,516,SGV003,516,264
SGV009,516,SGV003,516,304
SGV010,516,SGV003,516,283
SGV011,516,SGV003,516,302
SGV012,516,SGV003,516,403
SGV013,516,SGV003,516,75
SGV014,516,SGV003,516,416
SGV016,516,SGV003,516,294
SGV017,516,SGV003,516,266
SGV018,2227,SGV003,516,28504
SGV019,516,SGV003,516,138
SGV020,516,SGV003,516,391
SGV021,654,SGV003,516,28407
SGV022,654,SGV003,516,28408
SGV023,654,SGV003,516,28373
SGV025,654,SGV003,516,28407
SGV026,654,SGV003,516,28406
SGV027,0,SGV003,516,27062
SGV028,654,SGV003,516,28407
SGV029,654,SGV003,516,27228
SGV030,654,SGV003,516,28282
SGV031,654,SGV003,516,28407
SGV032,654,SGV003,516,28409
SGV033,654,SGV003,516,28409
SGV034,654,SGV003,516,28410
SGV035,654,SGV003,516,28407
SGV036,654,SGV003,516,28407
SGV037,654,SGV003,516,28409
SGV038,654,SGV003,516,28409
SGV039,654,SGV003,516,28406
SGV040,654,SGV003,516,28411
SGV041,654,SGV003,516,28410
SGV042,654,SGV003,516,28408
SGV043,654,SGV003,516,28412
SGV044,654,SGV003,516,28410
SGV045,654,SGV003,516,28411
SGV046,654,SGV003,516,28410
SGV047,654,SGV003,516,28414
SGV048,654,SGV003,516,28343
SGV049,654,SGV003,516,28407
SGV050,654,SGV003,516,28409
SGV051,654,SGV003,516,28410
SGV052,654,SGV003,516,28407
SGV053,654,SGV003,516,28408
SGV054,654,SGV003,516,28407
SGV055,654,SGV003,516,28369
SGV056,654,SGV003,516,28409
SGV057,654,SGV003,516,28407
SGV058,654,SGV003,516,28407
SGV059,654,SGV003,516,28405
SGV060,654,SGV003,516,28414
SGV061,654,SGV003,516,28413
SGV062,654,SGV003,516,28407
SGV063,654,SGV003,516,28409
SGV064,654,SGV003,516,28410
SGV065,654,SGV003,516,28408
SGV066,654,SGV003,516,28410
SGV067,654,SGV003,516,28411
SGV068,654,SGV003,516,28415
SGV069,654,SGV003,516,28412
SGV070,654,SGV003,516,28409
SGV071,654,SGV003,516,28402
SGV072,654,SGV003,516,28408
SGV073,654,SGV003,516,28408
SGV075,654,SGV003,516,28407
SGV077,654,SGV003,516,28406
