ID,aadA17,aph(3'')-Ib,aph(6)-Id,blaTEM-1B,lnu(F),mph(A),qnrS1,sul2,tet(A)
SGV004_ST654_p1,0,0,0,0,0,0,0,0,0
SGV004_ST654_p2,0,0,0,0,0,0,0,0,0
SGV004_ST654_p3,0,0,0,0,0,0,0,0,0
SGV004_ST654_p4,0,0,0,0,0,0,0,0,0
SGV006_ST516_p1,0,0,0,0,0,0,0,0,0
SGV006_ST516_p2,0,0,0,0,0,0,0,0,0
SGV006_ST516_p3,0,0,0,1,0,1,0,0,0
SGV008_ST516,0,1,1,0,0,0,0,1,1
SGV011_ST516,0,0,0,0,0,0,0,0,0
SGV012_ST516,0,0,0,0,0,0,0,0,0
SGV016_ST516,0,0,0,0,0,0,0,0,0
SGV018_ST2227_p1,0,0,0,0,0,0,0,0,0
SGV018_ST2227_p2,0,0,0,0,0,0,0,0,0
SGV019_ST516,0,0,0,0,0,0,0,0,0
SGV020_ST516,1,0,0,1,1,0,1,0,1
SGV022_ST654,0,0,0,0,0,0,0,0,0
SGV025_ST654,0,0,0,0,0,0,0,0,0
SGV029_ST654_p1,0,0,0,0,0,0,0,0,0
SGV029_ST654_p2,0,0,0,0,0,0,0,0,0
SGV032_ST654,0,0,0,0,0,0,0,0,0
SGV033_ST654,0,0,0,0,0,0,0,0,0
SGV046_ST654,0,0,0,0,0,0,0,0,0
SGV048_ST654,0,0,0,0,0,0,0,0,0
SGV064_ST654,0,0,0,0,0,0,0,0,0
SGV068_ST654,0,0,0,0,0,0,0,0,0
SGV080_ST654,0,0,0,0,0,0,0,0,0
SGV081_STunknown_p1,0,0,0,0,0,0,0,0,0
SGV081_STunknown_p2,0,0,0,0,0,0,0,0,0
SGV082_STunknown_p1,0,0,0,0,0,0,0,0,0
SGV082_STunknown_p2,0,0,0,0,0,0,0,0,0
