snp.dists.0.8.2,year1,period,variable,year2,period2,value,,,,,,,,,,,,,,
SBV005_plate01,2004,period1,SBV005_plate01,2004,period1,0,0,,,,,,,,,,,,2004,period1
SBV007_plate01,2015,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,2005,period1
SBV010_plate01,2007,period1,SBV005_plate01,2004,period1,63,0,,,,,,,,,,,,2006,period1
SBV011_plate01,2008,period1,SBV005_plate01,2004,period1,90,0,,,,,,,,,,,,2007,period1
SBV019_plate01,2011,period1,SBV005_plate01,2004,period1,69,0,,,,,,,,,,,,2008,period1
SBV021_plate01,2012,period1,SBV005_plate01,2004,period1,74,0,,,,,,,,,,,,2009,period1
SBV022_plate01,2012,period1,SBV005_plate01,2004,period1,45,0,,,,,,,,,,,,2010,period1
SBV023_plate01,2016,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,2011,period1
SBV024_plate01,2012,period1,SBV005_plate01,2004,period1,69,0,,,,,,,,,,,,2012,period1
SBV025_plate01,2012,period1,SBV005_plate01,2004,period1,49,0,,,,,,,,,,,,2013,period1
SBV027_plate01,2013,period1,SBV005_plate01,2004,period1,48,0,,,,,,,,,,,,2014,period1
SBV029_plate01,2013,period1,SBV005_plate01,2004,period1,69,0,,,,,,,,,,,,2015,period2
SBV030_plate01,2014,period1,SBV005_plate01,2004,period1,51,0,,,,,,,,,,,,2016,period2
SBV032_plate01,2014,period1,SBV005_plate01,2004,period1,72,0,,,,,,,,,,,,2017,period2
SBV033_plate01,2014,period1,SBV005_plate01,2004,period1,53,0,,,,,,,,,,,,2018,period2
SBV035_plate01,2015,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,2019,period2
SBV036_plate01,2015,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,2020,period2
SBV037_plate01,2015,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,2021,period2
SBV038_plate01,2015,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,2022,period2
SBV039_plate01,2015,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV040_plate03,2015,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV041_plate01,2015,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV042_plate01,2015,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV043_plate01,2015,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV044_plate01,2015,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV045_plate01,2015,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV046_plate01,2015,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV047_plate01,2015,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV048_plate01,2015,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV049_plate01,2015,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV050_plate01,2015,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV051_plate01,2015,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV052_plate01,2015,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV053_plate01,2015,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV054_plate01,2015,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV055_plate01,2015,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV057_plate01,2015,period2,SBV005_plate01,2004,period1,49,1,,,,,,,,,,,,,
SBV058_plate01,2015,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV059_plate01,2015,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV060_plate01,2015,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV061_plate01,2015,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV062_plate01,2015,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV063_plate01,2015,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV064_plate01,2015,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV065_plate03,2015,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV067_plate01,2015,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV068_plate01,2015,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV069_plate01,2015,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV070_plate01,2015,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV071_plate01,2015,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV072_plate02,2016,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV073_plate03,2016,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV074_plate03,2016,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV075_plate02,2016,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV076_plate02,2016,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV077_plate02,2016,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV078_plate02,2016,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV079_plate02,2016,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV080_plate02,2016,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
