"","snp.dists.0.8.2","ST1","variable","ST2","value"
"157","SGV004",654,"SGV004",654,0
"173","SGV021",654,"SGV004",654,100
"174","SGV022",654,"SGV004",654,102
"175","SGV023",654,"SGV004",654,100
"176","SGV025",654,"SGV004",654,100
"177","SGV026",654,"SGV004",654,100
"179","SGV028",654,"SGV004",654,100
"180","SGV029",654,"SGV004",654,94
"181","SGV030",654,"SGV004",654,105
"182","SGV031",654,"SGV004",654,100
"183","SGV032",654,"SGV004",654,102
"184","SGV033",654,"SGV004",654,104
"185","SGV034",654,"SGV004",654,103
"186","SGV035",654,"SGV004",654,100
"187","SGV036",654,"SGV004",654,100
"188","SGV037",654,"SGV004",654,103
"189","SGV038",654,"SGV004",654,103
"190","SGV039",654,"SGV004",654,99
"191","SGV040",654,"SGV004",654,105
"192","SGV041",654,"SGV004",654,103
"193","SGV042",654,"SGV004",654,103
"194","SGV043",654,"SGV004",654,106
"195","SGV044",654,"SGV004",654,104
"196","SGV045",654,"SGV004",654,104
"197","SGV046",654,"SGV004",654,104
"198","SGV047",654,"SGV004",654,108
"199","SGV048",654,"SGV004",654,104
"200","SGV049",654,"SGV004",654,102
"201","SGV050",654,"SGV004",654,102
"202","SGV051",654,"SGV004",654,104
"203","SGV052",654,"SGV004",654,101
"204","SGV053",654,"SGV004",654,102
"205","SGV054",654,"SGV004",654,100
"206","SGV055",654,"SGV004",654,102
"207","SGV056",654,"SGV004",654,103
"208","SGV057",654,"SGV004",654,101
"209","SGV058",654,"SGV004",654,101
"210","SGV059",654,"SGV004",654,99
"211","SGV060",654,"SGV004",654,108
"212","SGV061",654,"SGV004",654,108
"213","SGV062",654,"SGV004",654,101
"214","SGV063",654,"SGV004",654,103
"215","SGV064",654,"SGV004",654,104
"216","SGV065",654,"SGV004",654,103
"217","SGV066",654,"SGV004",654,104
"218","SGV067",654,"SGV004",654,105
"219","SGV068",654,"SGV004",654,109
"220","SGV069",654,"SGV004",654,105
"221","SGV070",654,"SGV004",654,102
"222","SGV071",654,"SGV004",654,95
"223","SGV072",654,"SGV004",654,101
