snp-dists 0.8.2,SBV005,SBV007,SBV010,SBV011,SBV019,SBV021,SBV022,SBV023,SBV024,SBV025,SBV027,SBV029,SBV030,SBV032,SBV033,SBV035,SBV036,SBV037,SBV038,SBV039,SBV041,SBV042,SBV043,SBV044,SBV045,SBV046,SBV047,SBV048,SBV049,SBV050,SBV051,SBV052,SBV053,SBV054,SBV055,SBV056,SBV057,SBV058,SBV059,SBV060,SBV061,SBV062,SBV063,SBV064,SBV067,SBV068,SBV069,SBV070,SBV071,SBV072,SBV075,SBV076,SBV077,SBV078,SBV079,SBV080,SBV081,SBV082,SBV083,SBV084,SBV087,SBV088,SBV089,SBV090,SBV091,SBV092,SBV093,SBV094,SBV095,SBV096,SBV097,SBV098,SBV099,SBV100,SBV101,SBV102,SBV103,SBV104,SBV105,SBV106,SBV107,SBV108,SBV109,SBV110,SBV111,SBV112,SBV113,SBV114,SBV115,SBV116,SBV117,SBV118,SBV119,SBV121,SBV122,SBV123,SBV124,SBV125,SBV127,SBV128,SBV130,SBV132,SBV133,SBV134,SBV135,SBV136,SBV138,SBV139,SBV140,SBV141,SBV142,SBV143,SBV144,SBV145,SBV146,SBV147,SBV148,SBV150,SBV151,SBV152,SBV153,SBV156,SBV157,SBV158,SBV159,SBV160,SBV161,SBV162,SBV163,SBV164,SBV165,SBV166,SBV167,SBV168,SBV169,SBV170,SBV171,SBV172,SBV173,SBV174,SBV175,SBV176,SBV218,SBV234,SBV235,SBV240,SBV257,SBV269,SBV270,SBV271,SBV272,SBV273,SBV274,SBV275,SBV276,SBV277,SBV278,SBV279,SBV280,SBV281,SBV282,SBV283,SBV284,SBV285,SBV286,SBV287,SBV288,SBV289,SBV290,SBV291,SBV292,SBV293,SBV294,SBV295,SBV296,SBV297,SBV298,SBV299,SBV300,SBV301,SBV302,SBV305,SBV306,SBV307,SBV308,SBV310,SBV311,SBV312,SBV313,SBV314,SBV315,SBV316,SBV317,SBV318,SBV319,SBV320,SBV321,SBV322,SBV323,SBV324,SBV325,SBV326,SBV327,SBV328,SBV329,SBV330,SBV331,SBV332,SBV333,SBV334,SBV335,SBV336,SBV337,SBV338,SBV339,SBV340,SBV341,SBV343,SBV344,SBV345,SBV347,SBV348,SBV349,SBV350,SBV351,SBV352,SBV353,SBV354,SBV355,SBV356,SBV357,SBV358,SBV359,SBV361,SBV362,SBV363,SBV364,SBV365,SBV366,SBV367,SBV368,SBV369,SBV370,SBV371,SBV372,SBV373,SBV374,SBV375,SBV376
SBV005,0,37,49,71,56,55,30,36,56,32,34,60,37,60,36,36,36,36,39,39,37,36,38,38,36,37,36,36,36,38,36,38,36,38,38,37,35,38,36,37,37,38,37,37,38,38,37,38,36,41,37,36,37,38,37,38,36,37,36,36,37,39,38,35,39,36,37,38,38,36,36,36,35,37,37,41,39,36,39,37,40,37,41,39,38,36,40,37,37,40,38,37,38,38,39,38,38,38,38,38,38,39,40,38,35,39,39,39,36,38,39,36,40,38,39,40,38,36,38,39,39,40,40,37,40,41,41,38,39,38,40,38,38,38,39,42,36,37,36,37,36,41,36,39,37,41,40,40,40,37,38,40,43,42,43,43,40,38,38,39,42,40,40,40,40,41,42,40,39,39,40,40,41,41,39,36,40,41,42,40,41,45,41,41,41,41,41,39,61,36,41,44,43,37,43,38,41,38,41,41,38,44,38,36,43,38,42,36,35,41,38,36,36,42,40,40,43,43,42,38,39,40,35,42,39,42,42,38,39,39,43,42,42,38,43,43,42,43,43,44,43,42,42,40,43,37,45,39,42
SBV007,37,0,62,84,69,68,15,3,69,5,3,73,6,73,5,1,1,5,4,6,4,1,5,5,3,4,3,3,3,5,3,5,5,3,5,2,2,3,3,6,2,3,4,2,5,3,4,3,3,10,4,3,4,3,4,3,3,4,3,3,4,4,5,4,4,5,2,5,5,3,3,3,4,4,4,6,4,1,6,4,5,4,8,4,5,3,7,4,4,5,5,4,3,5,6,5,5,5,3,5,5,6,7,5,4,6,6,6,3,5,6,3,7,5,6,5,5,3,3,6,6,7,7,4,7,8,6,5,6,5,5,5,5,5,6,7,3,4,3,4,3,6,5,6,4,8,7,5,9,6,5,9,12,11,12,8,7,5,5,6,9,7,9,7,9,8,9,9,8,6,9,7,8,10,6,3,7,8,9,9,8,10,10,10,8,10,6,8,74,5,8,13,10,6,12,7,8,5,8,8,7,11,7,5,10,7,11,3,4,10,7,5,3,11,9,9,12,12,9,5,6,7,4,7,8,11,9,7,6,6,10,9,9,5,10,12,11,10,10,11,12,9,11,9,10,6,14,6,11
SBV010,49,62,0,64,31,44,55,61,31,57,59,35,62,35,61,61,61,61,64,64,62,61,63,63,61,62,61,61,61,63,61,63,61,63,63,62,60,63,61,62,62,63,62,62,63,63,62,63,61,66,62,61,62,63,62,63,61,62,61,61,62,64,63,60,64,61,62,63,63,61,61,61,60,62,62,66,64,61,64,62,65,62,66,64,63,61,65,62,62,65,63,62,63,63,64,63,63,63,63,63,63,64,65,63,60,64,64,64,61,63,64,61,65,63,64,65,63,61,63,64,64,65,65,62,65,66,66,63,64,63,65,63,63,63,64,67,61,62,61,62,61,66,61,64,62,66,65,65,65,62,63,65,68,67,68,68,65,63,63,64,67,65,65,65,65,66,67,65,64,64,65,65,66,66,64,61,65,66,67,65,66,70,66,66,66,66,66,64,36,61,66,69,68,62,68,63,66,63,66,66,63,69,63,61,68,63,67,61,60,66,63,61,61,67,65,65,68,68,67,63,64,65,60,67,64,67,67,63,64,64,68,67,67,63,68,68,67,68,68,69,68,67,67,65,68,62,70,64,67
SBV011,71,84,64,0,71,70,77,83,71,79,81,75,84,75,83,83,83,83,86,86,84,83,85,85,83,84,83,83,83,85,83,85,83,85,85,84,82,85,83,84,84,85,84,84,85,85,84,85,83,88,84,83,84,85,84,85,83,84,83,83,84,86,85,82,86,83,84,85,85,83,83,83,82,84,84,88,86,83,86,84,87,84,88,86,85,83,87,84,84,87,85,84,85,85,86,85,85,85,85,85,85,86,87,85,82,86,86,86,83,85,86,83,87,85,86,87,85,83,85,86,86,87,87,84,87,88,88,85,86,85,87,85,85,85,86,89,83,84,83,84,83,88,83,86,84,88,87,87,87,84,85,87,90,89,90,90,87,85,85,86,89,87,87,87,87,88,89,87,86,86,87,87,88,88,86,83,87,88,89,87,88,92,88,88,88,88,88,86,76,83,88,91,90,84,90,85,88,85,88,88,85,91,85,83,90,85,89,83,82,88,85,83,83,89,87,87,90,90,89,85,86,87,82,89,86,89,89,85,86,86,90,89,89,85,90,90,89,90,90,91,90,89,89,87,90,84,92,86,89
SBV019,56,69,31,71,0,51,62,68,2,64,66,34,69,34,68,68,68,68,71,71,69,68,70,70,68,69,68,68,68,70,68,70,68,70,70,69,67,70,68,69,69,70,69,69,70,70,69,70,68,73,69,68,69,70,69,70,68,69,68,68,69,71,70,67,71,68,69,70,70,68,68,68,67,69,69,73,71,68,71,69,72,69,73,71,70,68,72,69,69,72,70,69,70,70,71,70,70,70,70,70,70,71,72,70,67,71,71,71,68,70,71,68,72,70,71,72,70,68,70,71,71,72,72,69,72,73,73,70,71,70,72,70,70,70,71,74,68,69,68,69,68,73,68,71,69,73,72,72,72,69,70,72,75,74,75,75,72,70,70,71,74,72,72,72,72,73,74,72,71,71,72,72,73,73,71,68,72,73,74,72,73,77,73,73,73,73,73,71,35,68,73,76,75,69,75,70,73,70,73,73,70,76,70,68,75,70,74,68,67,73,70,68,68,74,72,72,75,75,74,70,71,72,67,74,71,74,74,70,71,71,75,74,74,70,75,75,74,75,75,76,75,74,74,72,75,69,77,71,74
SBV021,55,68,44,70,51,0,61,67,51,63,65,55,68,55,67,67,67,67,70,70,68,67,69,69,67,68,67,67,67,69,67,69,67,69,69,68,66,69,67,68,68,69,68,68,69,69,68,69,67,72,68,67,68,69,68,69,67,68,67,67,68,70,69,66,70,67,68,69,69,67,67,67,66,68,68,72,70,67,70,68,71,68,72,70,69,67,71,68,68,71,69,68,69,69,70,69,69,69,69,69,69,70,71,69,66,70,70,70,67,69,70,67,71,69,70,71,69,67,69,70,70,71,71,68,71,72,72,69,70,69,71,69,69,69,70,73,67,68,67,68,67,72,67,70,68,72,71,71,71,68,69,71,74,73,74,74,71,69,69,70,73,71,71,71,71,72,73,71,70,70,71,71,72,72,70,67,71,72,73,71,72,76,72,72,72,72,72,70,56,67,72,75,74,68,74,69,72,69,72,72,69,75,69,67,74,69,73,67,66,72,69,67,67,73,71,71,74,74,73,69,70,71,66,73,70,73,73,69,70,70,74,73,73,69,74,74,73,74,74,75,74,73,73,71,74,68,76,70,73
SBV022,30,15,55,77,62,61,0,14,62,10,12,66,15,66,14,14,14,14,17,17,15,14,16,16,14,15,14,14,14,16,14,16,14,16,16,15,13,16,14,15,15,16,15,15,16,16,15,16,14,19,15,14,15,16,15,16,14,15,14,14,15,17,16,13,17,14,15,16,16,14,14,14,13,15,15,19,17,14,17,15,18,15,19,17,16,14,18,15,15,18,16,15,16,16,17,16,16,16,16,16,16,17,18,16,13,17,17,17,14,16,17,14,18,16,17,18,16,14,16,17,17,18,18,15,18,19,19,16,17,16,18,16,16,16,17,20,14,15,14,15,14,19,14,17,15,19,18,18,18,15,16,18,21,20,21,21,18,16,16,17,20,18,18,18,18,19,20,18,17,17,18,18,19,19,17,14,18,19,20,18,19,23,19,19,19,19,19,17,67,14,19,22,21,15,21,16,19,16,19,19,16,22,16,14,21,16,20,14,13,19,16,14,14,20,18,18,21,21,20,16,17,18,13,20,17,20,20,16,17,17,21,20,20,16,21,21,20,21,21,22,21,20,20,18,21,15,23,17,20
SBV023,36,3,61,83,68,67,14,0,68,4,2,72,5,72,4,2,2,4,5,3,1,2,2,2,0,1,0,0,0,2,0,2,4,4,2,3,1,4,0,5,3,4,1,3,2,4,1,4,0,9,1,0,1,4,1,4,0,1,0,0,1,5,2,3,5,4,3,2,2,0,0,0,3,1,1,7,5,2,3,1,6,1,5,5,2,0,4,1,1,6,2,1,4,2,3,2,2,2,4,2,2,3,4,2,3,3,3,3,0,2,3,0,4,2,3,6,2,0,4,3,3,4,4,1,4,5,7,2,3,2,6,2,2,2,3,8,0,1,0,1,0,7,4,3,1,5,4,6,8,5,2,8,11,10,11,9,4,2,2,3,6,4,8,4,8,5,6,8,7,3,8,4,5,9,3,0,4,5,6,8,5,11,9,9,5,9,7,7,73,4,5,12,7,5,11,6,5,2,5,5,6,8,6,4,7,6,10,0,3,9,6,4,0,10,8,8,11,11,6,2,3,4,3,8,7,10,6,6,3,3,7,6,6,2,7,11,10,7,7,8,11,6,10,8,7,5,13,3,10
SBV024,56,69,31,71,2,51,62,68,0,64,66,34,69,34,68,68,68,68,71,71,69,68,70,70,68,69,68,68,68,70,68,70,68,70,70,69,67,70,68,69,69,70,69,69,70,70,69,70,68,73,69,68,69,70,69,70,68,69,68,68,69,71,70,67,71,68,69,70,70,68,68,68,67,69,69,73,71,68,71,69,72,69,73,71,70,68,72,69,69,72,70,69,70,70,71,70,70,70,70,70,70,71,72,70,67,71,71,71,68,70,71,68,72,70,71,72,70,68,70,71,71,72,72,69,72,73,73,70,71,70,72,70,70,70,71,74,68,69,68,69,68,73,68,71,69,73,72,72,72,69,70,72,75,74,75,75,72,70,70,71,74,72,72,72,72,73,74,72,71,71,72,72,73,73,71,68,72,73,74,72,73,77,73,73,73,73,73,71,35,68,73,76,75,69,75,70,73,70,73,73,70,76,70,68,75,70,74,68,67,73,70,68,68,74,72,72,75,75,74,70,71,72,67,74,71,74,74,70,71,71,75,74,74,70,75,75,74,75,75,76,75,74,74,72,75,69,77,71,74
SBV025,32,5,57,79,64,63,10,4,64,0,2,68,5,68,4,4,4,4,7,7,5,4,6,6,4,5,4,4,4,6,4,6,4,6,6,5,3,6,4,5,5,6,5,5,6,6,5,6,4,9,5,4,5,6,5,6,4,5,4,4,5,7,6,3,7,4,5,6,6,4,4,4,3,5,5,9,7,4,7,5,8,5,9,7,6,4,8,5,5,8,6,5,6,6,7,6,6,6,6,6,6,7,8,6,3,7,7,7,4,6,7,4,8,6,7,8,6,4,6,7,7,8,8,5,8,9,9,6,7,6,8,6,6,6,7,10,4,5,4,5,4,9,4,7,5,9,8,8,8,5,6,8,11,10,11,11,8,6,6,7,10,8,8,8,8,9,10,8,7,7,8,8,9,9,7,4,8,9,10,8,9,13,9,9,9,9,9,7,69,4,9,12,11,5,11,6,9,6,9,9,6,12,6,4,11,6,10,4,3,9,6,4,4,10,8,8,11,11,10,6,7,8,3,10,7,10,10,6,7,7,11,10,10,6,11,11,10,11,11,12,11,10,10,8,11,5,13,7,10
