ID,label,ESR number,date,Source,Year,IncI,Clades,line
SGV004,SGV004|2005.64109589041,ERL052963,23/08/2005,Bovine,2005,1,A,1
SGV021,SGV021|2019.22739726027,19ER1365,25/03/2019,Bovine,2019,0,B,1
SGV022,SGV022|2019.62191780822,19ER3158,16/08/2019,Bovine,2019,0,A,1
SGV023,SGV023|2019.17534246575,19ER1126,6/03/2019,Bovine,2019,0,C,1
SGV025,SGV025|2019.60821917808,19ER3075,11/08/2019,Bovine,2019,1,B,1
SGV026,SGV026|2019.65205479452,19ER3366,27/08/2019,Bovine,2019,0,B,1
SGV028,SGV028|2019.76164383562,19ER4151,6/10/2019,Bovine,2019,0,C,1
SGV031,SGV031|2020.85792349727,20ER3761,10/11/2020,Bovine,2020,0,C,1
SGV032,SGV032|2020.84153005464,20ER3645,4/11/2020,Human,2020,1,C,1
SGV033,SGV033|2020.45901639344,20ER1753,17/06/2020,Human,2020,1,B,1
SGV034,SGV034|2020.8606557377,20ER3712,11/11/2020,Human,2020,0,C,1
SGV035,SGV035|2020.2868852459,20ER1420,15/04/2020,Feline,2020,0,B,1
SGV036,SGV036|2020.27049180328,20ER1421,9/04/2020,Bovine,2020,0,B,1
SGV037,SGV037|2020.33879781421,20ER1410,4/05/2020,Bovine,2020,0,B,1
SGV038,SGV038|2020.38797814208,20ER1480,22/05/2020,Bovine,2020,0,C,1
SGV039,SGV039|2020.08743169399,20ER1496,2/02/2020,Canine,2020,0,B,1
SGV040,SGV040|2020.43715846995,20ER1716,9/06/2020,Bovine,2020,0,C,1
SGV041,SGV041|2020.5737704918,20ER2181,29/07/2020,Bovine,2020,0,B,1
SGV042,SGV042|2020.66393442623,20ER2814,31/08/2020,Bovine,2020,0,D,1
SGV043,SGV043|2020.68306010929,20ER2830,7/09/2020,Bovine,2020,0,B,1
SGV044,SGV044|2020.73224043716,20ER3227,25/09/2020,Bovine,2020,0,B,1
SGV045,SGV045|2020.82786885246,20ER3567,30/10/2020,Canine,2020,0,C,1
SGV046,SGV046|2020.95081967213,20ER4113,14/12/2020,Bovine,2020,1,A,1
SGV047,SGV047|2021.76438356164,21ER3675,7/10/2021,Bovine,2021,0,B,1
SGV048,SGV048|2021.20547945205,21ER0924,17/03/2021,Bovine,2021,1,A,1
SGV049,SGV049|2021.09589041096,21ER0433,5/02/2021,Human,2021,0,C,1
SGV050,SGV050|2021.41369863014,21ER1931,1/06/2021,Human,2021,0,A,1
SGV051,SGV051|2021.27671232877,21ER1304,12/04/2021,Bovine,2021,0,C,1
SGV052,SGV052|2021.27945205479,21ER1303,13/04/2021,Canine,2021,0,A,1
SGV053,SGV053|2021.31780821918,21ER1463,27/04/2021,Bovine,2021,0,A,1
SGV054,SGV054|2020.53825136612,20ER2039,16/07/2020,Canine,2020,0,B,1
SGV055,SGV055|2021.49315068493,21ER2278,30/06/2021,Bovine,2021,0,A,1
SGV056,SGV056|2021.58356164384,21ER2724,2/08/2021,Canine,2021,0,A,1
SGV057,SGV057|2021.57534246575,21ER2726,30/07/2021,Bovine,2021,0,A,1
SGV058,SGV058|2021.61369863014,21ER2811,13/08/2021,Canine,2021,0,A,1
SGV059,SGV059|2021.64383561644,21ER3097,24/08/2021,Bovine,2021,0,A,1
SGV060,SGV060|2021.74246575342,21ER3588,29/09/2021,Bovine,2021,0,C,1
SGV061,SGV061|2021.76712328767,21ER3740,8/10/2021,Canine,2021,0,D,1
SGV062,SGV062|2021.78356164384,21ER3795,14/10/2021,Bovine,2021,0,A,1
SGV063,SGV063|2021.83287671233,21ER3991,1/11/2021,Ovine,2021,0,B,1
SGV064,SGV064|2021.84383561644,21ER4053,5/11/2021,Bovine,2021,1,C,1
SGV065,SGV065|2021.8602739726,21ER4133,11/11/2021,Canine,2021,0,D,1
SGV066,SGV066|2022.10410958904,22ER0601,8/02/2022,Human,2022,0,B,1
SGV067,SGV067|2022.1095890411,22ER0604,10/02/2022,Bovine,2022,0,A,1
SGV068,SGV068|2022.18904109589,22ER1132,11/03/2022,Canine,2022,0,B,1
SGV069,SGV069|2022.31780821918,22ER1624,27/04/2022,Bovine,2022,0,C,1
SGV070,SGV070|2022.31780821918,22ER1654,27/04/2022,Canine,2022,0,A,1
SGV071,SGV071|2022.33424657534,22ER1714,3/05/2022,Human,2022,0,A,1
SGV072,SGV072|2022.47123287671,22ER2190,22/06/2022,Feline,2022,0,C,1
SGV073,SGV073|2022.48493150685,22ER2261,27/06/2022,Canine,2022,0,A,1
SGV075,SGV075|2022.55342465753,22ER2511,22/07/2022,Bovine,2022,0,A,1
SGV077,SGV077|2022.6602739726,22ER3063,30/08/2022,Canine,2022,0,A,1
SGV078,SGV078|2022.68219178082,22ER3142,7/09/2022,Bovine,2022,0,A,1
SGV079,SGV079|2022.7397260274,22ER3456,28/09/2022,Canine,2022,0,C,1
SGV080,SGV080|2022.87123287671,22ER4065,15/11/2022,Equine,2022,1,A,1
