ID,gc_plasmid,gc_chromosome
SGV004_ST654_p1,43.9,52.28
SGV004_ST654_p2,50.2,52.28
SGV004_ST654_p3,42.2,52.28
SGV004_ST654_p4,57.3,52.28
SGV006_ST516_p1,48.8,52.23
SGV006_ST516_p2,55,52.23
SGV006_ST516_p3,55.5,52.23
SGV008_ST516,61.7,52.22
SGV011_ST516,51.8,52.22
SGV012_ST516,52.9,52.29
SGV016_ST516,52.2,52.22
SGV018_ST2227_p1,48.7,52.04
SGV018_ST2227_p2,47.2,52.04
SGV019_ST516,50.2,52.28
SGV020_ST516,51.5,52.25
SGV022_ST654,45.7,52.25
SGV025_ST654,50,52.25
SGV029_ST654_p1,53.9,52.9
SGV029_ST654_p2,49,52.9
SGV032_ST654,50,52.25
SGV033_ST654,50.1,52.25
SGV046_ST654,42.3,52.25
SGV048_ST654,42.3,52.25
SGV064_ST654,49.9,52.28
SGV068_ST654,61.8,52.25
SGV080_ST654,42.5,52.25
SGV081_STunknown_p1,52.9,52.31
SGV081_STunknown_p2,50.1,52.31
SGV082_STunknown_p1,50.2,52.07
SGV082_STunknown_p2,49.8,52.07
