isolate	seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
SBV072_flye	contig_1	3069545	128	N	N	1	*	3,1,-3
SBV072_flye	contig_2	1605243	110	N	N	1	*	-3,2,3
SBV072_flye	contig_7	93712	117	Y	N	1	*	7
SBV072_flye	contig_4	35616	125	N	Y	1	2	*,4,*
SBV072_flye	contig_6	4593	207	Y	Y	2	*	6
SBV075_flye	contig_5	3069544	108	N	N	1	*	1,5,-1
SBV075_flye	contig_2	1605228	92	N	N	1	*	-1,2,1
SBV075_flye	contig_6	93712	93	Y	N	1	*	6
SBV075_flye	contig_1	41174	21	N	Y	1	*	1
SBV075_flye	contig_4	35616	99	N	Y	1	2	*,4,*
SBV075_flye	contig_3	34470	20	N	Y	1	2	*,3,*
SBV075_flye	contig_7	4593	329	Y	Y	3	*	7
SBV076_flye	contig_1	4788939	44	Y	N	1	*	1
SBV076_flye	contig_2	93712	37	Y	N	1	*	2
SBV076_flye	contig_3	4593	119	Y	Y	4	*	3
SBV077_flye	contig_2	3069540	85	N	N	1	*	3,2,-3
SBV077_flye	contig_1	1605239	73	N	N	1	*	-3,1,3
SBV077_flye	contig_10	93712	76	Y	N	1	*	10
SBV077_flye	contig_11	87348	113	Y	N	1	*	11
SBV077_flye	contig_3	41182	21	N	Y	1	*	3
SBV077_flye	contig_4	35616	91	N	Y	1	2	*,4,*
SBV077_flye	contig_9	35225	145	Y	N	2	*	9
SBV077_flye	contig_5	34469	20	N	Y	1	2	*,5,*
SBV077_flye	contig_6	4593	419	Y	Y	6	*	6
SBV077_flye	contig_8	1617	234	N	Y	3	4	*,8,*
SBV077_flye	contig_7	957	20	N	Y	1	4	*,7,*
SBV078_flye	contig_3	1605254	133	N	N	1	*	4,3,-4
SBV078_flye	contig_1	1591864	166	N	N	1	*	-4,1,-8,-7
SBV078_flye	contig_2	1453391	138	N	N	1	*	2,4
SBV078_flye	contig_10	93712	122	Y	N	1	*	10
SBV078_flye	contig_7	37594	239	N	Y	1	*	7
SBV078_flye	contig_5	35616	153	N	Y	1	2	*,5,*
SBV078_flye	contig_9	9186	311	Y	Y	2	*	9
SBV079_flye	contig_1	3069535	148	N	N	1	*	-2,1,2
SBV079_flye	contig_5	1605251	130	N	N	1	*	2,5,-2
SBV079_flye	contig_7	93712	105	Y	N	1	*	7
SBV079_flye	contig_3	35616	150	N	Y	1	2	*,3,*
SBV079_flye	contig_6	9186	93	Y	N	1	*	6
SBV080_flye	contig_5	3069540	261	N	N	1	*	1,5,-1
SBV080_flye	contig_2	1605223	221	N	N	1	*	-1,2,1
SBV080_flye	contig_6	93712	200	Y	N	1	*	6
SBV080_flye	contig_4	35616	243	N	Y	1	2	*,4,*
SBV080_flye	contig_7	9162	180	Y	N	1	*	7
SBV081_flye	contig_1	3069585	200	N	N	1	*	-3,1,3
SBV081_flye	contig_2	1605241	178	N	N	1	*	3,2,-3
SBV081_flye	contig_8	93712	172	Y	N	1	*	8
SBV081_flye	contig_4	35616	190	N	Y	1	2	*,4,*
SBV081_flye	contig_6	4593	578	Y	Y	3	*	6
SBV081_flye	contig_7	3109	1287	Y	Y	7	*	7
SBV082_flye	contig_1	3069534	129	N	N	1	*	-3,1,3
SBV082_flye	contig_2	1605258	106	N	N	1	*	3,2,-3
SBV082_flye	contig_9	93712	106	Y	N	1	*	9
SBV082_flye	contig_4	35616	124	N	Y	1	2	*,4,*
SBV082_flye	contig_10	6811	257	Y	Y	2	*	10
SBV082_flye	contig_8	4593	308	Y	Y	2	*	8
SBV082_flye	contig_7	2877	431	N	Y	4	*	7
SBV082_flye	contig_6	879	359	N	Y	3	*	6
SBV083_flye	contig_5	3069545	94	N	N	1	*	1,5,-1
SBV083_flye	contig_2	1605237	79	N	N	1	*	-1,2,1
SBV083_flye	contig_8	93712	84	Y	N	1	*	8
SBV083_flye	contig_1	41186	21	N	Y	1	*	1
SBV083_flye	contig_3	35616	93	N	Y	1	2	*,3,*
SBV083_flye	contig_4	34469	20	N	Y	1	2	*,4,*
SBV083_flye	contig_7	9186	133	Y	N	2	*	7
SBV083_flye	contig_6	4719	218	N	N	3	*	*,6,*
SBV084_flye	contig_1	3069545	164	N	N	1	*	3,1,-3
SBV084_flye	contig_2	1605243	136	N	N	1	*	-3,2,3
SBV084_flye	contig_7	93712	103	Y	N	1	*	7
SBV084_flye	contig_4	35616	155	N	Y	1	2	*,4,*
SBV084_flye	contig_6	4593	393	Y	Y	2	*	6
SBV086_flye	contig_1	4809122	120	Y	N	1	*	1
SBV086_flye	contig_4	93745	96	Y	N	1	*	4
SBV086_flye	contig_5	32598	142	Y	N	1	*	5
SBV088_flye	contig_1	3069679	50	N	N	1	*	3,1,-3
SBV088_flye	contig_2	1605229	45	N	N	1	*	-3,2,3
SBV088_flye	contig_9	93712	41	Y	N	1	*	9
SBV088_flye	contig_3	42324	20	N	Y	1	*	3
SBV088_flye	contig_5	35616	19	N	Y	1	2	*,5,*
SBV088_flye	contig_4	34470	45	N	Y	1	2	*,4,*
SBV088_flye	contig_6	4340	250	Y	Y	6	*	6
SBV088_flye	contig_7	1244	80	N	Y	1	4	*,7,*
SBV091_flye	contig_1	3069421	267	N	N	1	*	-3,1,3
SBV091_flye	contig_2	1605250	226	N	N	1	*	3,2,-3
SBV091_flye	contig_7	93712	179	Y	N	1	*	7
SBV091_flye	contig_4	35616	253	N	Y	1	2	*,4,*
SBV091_flye	contig_6	8490	256	Y	N	1	*	6
SBV093_flye	contig_1	3069558	100	N	N	1	*	-2,1,2
SBV093_flye	contig_5	1605239	89	N	N	1	*	2,5,-2
SBV093_flye	contig_7	93712	88	Y	N	1	*	7
SBV093_flye	contig_2	41182	21	N	Y	1	*	2
SBV093_flye	contig_4	35616	104	N	Y	1	2	*,4,*
SBV093_flye	contig_3	34469	20	N	Y	1	2	*,3,*
SBV093_flye	contig_6	9158	110	Y	N	1	*	6
SBV094_flye	contig_1	3069535	138	N	N	1	*	-3,1,3
SBV094_flye	contig_2	1605255	117	N	N	1	*	3,2,-3
SBV094_flye	contig_7	93712	87	Y	N	1	*	7
SBV094_flye	contig_4	35616	146	N	Y	1	2	*,4,*
SBV094_flye	contig_8	9186	95	Y	N	1	*	8
SBV094_flye	contig_6	6218	73	Y	N	1	*	6
SBV095_flye	contig_1	4744890	346	Y	N	1	*	1
SBV095_flye	contig_3	93712	350	Y	N	1	*	3
SBV095_flye	contig_2	4593	315	Y	Y	1	*	2
SBV096_flye	contig_1	4742335	135	Y	N	1	*	1
SBV096_flye	contig_3	93712	153	Y	N	1	*	3
SBV096_flye	contig_2	4593	194	Y	Y	1	*	2
SBV097_flye	contig_1	3069535	164	N	N	1	*	-2,1,2
SBV097_flye	contig_5	1605249	150	N	N	1	*	2,5,-2
SBV097_flye	contig_9	93712	113	Y	N	1	*	9
SBV097_flye	contig_4	35616	150	N	Y	1	2	*,4,*
SBV097_flye	contig_8	4596	534	Y	Y	3	*	8
SBV097_flye	contig_10	3109	312	Y	Y	2	*	10
SBV097_flye	contig_6	1316	87	N	Y	1	4	*,6,*
SBV098_flye	contig_1	4744884	128	Y	N	1	*	1
SBV098_flye	contig_2	93712	317	Y	Y	2	*	2
SBV099_flye	contig_5	3069646	164	N	N	1	*	1,5,-1
SBV099_flye	contig_2	1605237	140	N	N	1	*	-1,2,1
SBV099_flye	contig_8	95534	111	Y	N	1	*	8
