"isolate","n_recombinations","total_rec_bp","has_cmeC","has_cmeB","has_cmeA","has_cmeR","all_genes_hit","rec_types"
"SC0012",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0015",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0111",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0194",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0384",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0387",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0396",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0483",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0569",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0571",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0576",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0579",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0581",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0712",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0713",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0715",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0716",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0737",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0745",5,10486,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","unique, shared"
"SC0857",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0909",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0961",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC1010",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC1441",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC1442",5,12567,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC1628",5,11983,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared, unique"
"SC0176",4,5136,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0231",4,5136,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0346",4,5841,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0352",4,6276,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared, unique"
"SC0361",4,9978,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0391",4,5136,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0572",4,4918,FALSE,TRUE,FALSE,FALSE,"cmeB","shared"
"SC0674",4,4918,FALSE,TRUE,FALSE,FALSE,"cmeB","shared"
"SC0682",4,10647,TRUE,TRUE,TRUE,FALSE,"cmeC, cmeB, cmeA","unique, shared"
"SC0708",4,4951,FALSE,TRUE,FALSE,FALSE,"cmeB","shared"
"SC0861",4,4951,FALSE,TRUE,FALSE,FALSE,"cmeB","shared"
"SC0949",4,6438,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared, unique"
"SC1065",4,4937,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","unique, shared"
"SC1137",4,9978,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1207",4,5841,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1319",4,5136,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1673",4,4918,FALSE,TRUE,FALSE,FALSE,"cmeB","shared"
"SC0098",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0280",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0286",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0341",3,10179,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","unique, shared"
"SC0388",3,9935,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0408",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0453",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0454",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0476",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0485",3,9935,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC0494",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0504",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0594",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0618",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0632",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0677",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0742",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0760",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0776",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0948",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1073",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1192",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1380",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1558",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1591",3,9935,FALSE,TRUE,TRUE,TRUE,"cmeB, cmeA, cmeR","shared"
"SC1694",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1697",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1703",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1705",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1706",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1707",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1708",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1716",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1717",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC1725",3,6269,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","shared"
"SC0941",2,4400,FALSE,TRUE,FALSE,FALSE,"cmeB","shared"
"SC0987",2,4400,FALSE,TRUE,FALSE,FALSE,"cmeB","shared"
"SC1689",2,4219,FALSE,TRUE,TRUE,FALSE,"cmeB, cmeA","unique, shared"
