"isolate","rec_start","rec_end","rec_type","n_taxa_in_rec","genes_hit","n_genes","rec_length"
"SC0012",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0012",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0012",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0012",376640,376735,"shared",28,"cmeB",1,96
"SC0012",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0015",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0015",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0015",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0015",376640,376735,"shared",28,"cmeB",1,96
"SC0015",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0098",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0098",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0098",376784,377038,"shared",38,"cmeB",1,255
"SC0111",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0111",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0111",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0111",376640,376735,"shared",28,"cmeB",1,96
"SC0111",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0176",375122,375374,"shared",4,"cmeB",1,253
"SC0176",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0176",376508,378106,"shared",4,"cmeB, cmeA",2,1599
"SC0176",376784,377038,"shared",38,"cmeB",1,255
"SC0194",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0194",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0194",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0194",376640,376735,"shared",28,"cmeB",1,96
"SC0194",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0231",375122,375374,"shared",4,"cmeB",1,253
"SC0231",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0231",376508,378106,"shared",4,"cmeB, cmeA",2,1599
"SC0231",376784,377038,"shared",38,"cmeB",1,255
"SC0280",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0280",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0280",376784,377038,"shared",38,"cmeB",1,255
"SC0286",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0286",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0286",376784,377038,"shared",38,"cmeB",1,255
"SC0341",375512,383369,"unique",1,"cmeB, cmeA, cmeR",3,7858
"SC0341",375719,377447,"shared",14,"cmeB",1,1729
"SC0341",375932,376523,"shared",11,"cmeB",1,592
"SC0346",375266,377878,"shared",2,"cmeB, cmeA",2,2613
"SC0346",375719,377447,"shared",14,"cmeB",1,1729
"SC0346",375758,376664,"shared",7,"cmeB",1,907
"SC0346",375932,376523,"shared",11,"cmeB",1,592
"SC0352",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0352",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0352",376784,377038,"shared",38,"cmeB",1,255
"SC0352",377141,377147,"unique",1,"cmeB",1,7
"SC0361",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0361",375110,378153,"shared",2,"cmeB, cmeA",2,3044
"SC0361",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0361",376640,376735,"shared",28,"cmeB",1,96
"SC0384",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0384",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0384",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0384",376640,376735,"shared",28,"cmeB",1,96
"SC0384",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0387",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0387",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0387",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0387",376640,376735,"shared",28,"cmeB",1,96
"SC0387",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0388",375719,383332,"shared",3,"cmeB, cmeA, cmeR",3,7614
"SC0388",375719,377447,"shared",14,"cmeB",1,1729
"SC0388",375932,376523,"shared",11,"cmeB",1,592
"SC0391",375122,375374,"shared",4,"cmeB",1,253
"SC0391",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0391",376508,378106,"shared",4,"cmeB, cmeA",2,1599
"SC0391",376784,377038,"shared",38,"cmeB",1,255
"SC0396",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0396",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0396",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0396",376640,376735,"shared",28,"cmeB",1,96
"SC0396",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0408",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0408",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0408",376784,377038,"shared",38,"cmeB",1,255
"SC0453",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0453",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0453",376784,377038,"shared",38,"cmeB",1,255
"SC0454",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0454",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0454",376784,377038,"shared",38,"cmeB",1,255
"SC0476",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0476",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0476",376784,377038,"shared",38,"cmeB",1,255
"SC0483",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0483",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0483",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0483",376640,376735,"shared",28,"cmeB",1,96
"SC0483",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0485",375719,383332,"shared",3,"cmeB, cmeA, cmeR",3,7614
"SC0485",375719,377447,"shared",14,"cmeB",1,1729
"SC0485",375932,376523,"shared",11,"cmeB",1,592
"SC0494",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0494",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0494",376784,377038,"shared",38,"cmeB",1,255
"SC0504",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0504",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0504",376784,377038,"shared",38,"cmeB",1,255
"SC0569",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0569",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0569",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0569",376640,376735,"shared",28,"cmeB",1,96
"SC0569",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0571",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0571",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0571",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0571",376640,376735,"shared",28,"cmeB",1,96
