snp.dists.0.8.2,variable,value,same_source
SBV005,SBV005,0,0
SBV007,SBV005,37,1
SBV010,SBV005,49,1
SBV011,SBV005,71,0
SBV019,SBV005,56,1
SBV021,SBV005,55,0
SBV022,SBV005,30,0
SBV023,SBV005,36,1
SBV024,SBV005,56,1
SBV025,SBV005,32,1
SBV027,SBV005,34,0
SBV029,SBV005,60,1
SBV030,SBV005,37,0
SBV032,SBV005,60,1
SBV033,SBV005,36,1
SBV035,SBV005,36,0
SBV036,SBV005,36,0
SBV037,SBV005,36,0
SBV038,SBV005,39,0
SBV039,SBV005,39,0
SBV041,SBV005,37,0
SBV042,SBV005,36,0
SBV043,SBV005,38,1
SBV044,SBV005,38,1
SBV045,SBV005,36,1
SBV046,SBV005,37,1
SBV047,SBV005,36,1
SBV048,SBV005,36,1
SBV049,SBV005,36,1
SBV050,SBV005,38,1
SBV051,SBV005,36,1
SBV052,SBV005,38,1
SBV053,SBV005,36,1
SBV054,SBV005,38,1
SBV055,SBV005,38,1
SBV056,SBV005,37,1
SBV057,SBV005,35,1
SBV058,SBV005,38,1
SBV059,SBV005,36,1
SBV060,SBV005,37,1
SBV061,SBV005,37,1
SBV062,SBV005,38,1
SBV063,SBV005,37,1
SBV064,SBV005,37,1
SBV067,SBV005,38,1
SBV068,SBV005,38,1
SBV069,SBV005,37,1
SBV070,SBV005,38,1
SBV071,SBV005,36,1
SBV072,SBV005,41,0
SBV075,SBV005,37,0
SBV076,SBV005,36,0
SBV077,SBV005,37,0
SBV078,SBV005,38,0
SBV079,SBV005,37,0
SBV080,SBV005,38,0
SBV081,SBV005,36,0
SBV082,SBV005,37,0
SBV083,SBV005,36,0
SBV084,SBV005,36,1
SBV087,SBV005,37,1
SBV088,SBV005,39,1
SBV089,SBV005,38,1
SBV090,SBV005,35,1
SBV091,SBV005,39,1
SBV092,SBV005,36,1
SBV093,SBV005,37,1
SBV094,SBV005,38,1
SBV095,SBV005,38,1
SBV096,SBV005,36,1
SBV097,SBV005,36,1
