snp.dists.0.8.2,year1,year1_ed,source1,variable,year2,year2_ed,source2,value,same_source,same_period,,,,,
SGV004,2005,A,Bovine,SGV004,2005,A,Bovine,0,0,0,,,,,
SGV021,2019,B,Bovine,SGV004,2005,A,Bovine,100,0,1,,,,2005,A
SGV022,2019,B,Bovine,SGV004,2005,A,Bovine,102,0,1,,,,2019,B
SGV023,2019,B,Bovine,SGV004,2005,A,Bovine,100,0,1,,,,2020,B
SGV025,2019,B,Bovine,SGV004,2005,A,Bovine,100,0,1,,,,2021,B
SGV026,2019,B,Bovine,SGV004,2005,A,Bovine,100,0,1,,,,2022,B
SGV028,2019,B,Bovine,SGV004,2005,A,Bovine,100,0,1,,,,,
SGV029,2019,B,Bovine,SGV004,2005,A,Bovine,94,0,1,,,,,
SGV030,2020,B,Bovine,SGV004,2005,A,Bovine,105,0,1,,,,,
SGV031,2020,B,Bovine,SGV004,2005,A,Bovine,100,0,1,,,,,
SGV032,2020,B,Human,SGV004,2005,A,Bovine,102,1,1,,,,,
SGV033,2020,B,Human,SGV004,2005,A,Bovine,104,1,1,,,,,
SGV034,2020,B,Human,SGV004,2005,A,Bovine,103,1,1,,,,,
SGV035,2020,B,Feline,SGV004,2005,A,Bovine,100,1,1,,,,,
SGV036,2020,B,Bovine,SGV004,2005,A,Bovine,100,0,1,,,,,
SGV037,2020,B,Bovine,SGV004,2005,A,Bovine,103,0,1,,,,,
SGV038,2020,B,Bovine,SGV004,2005,A,Bovine,103,0,1,,,,,
SGV039,2020,B,Canine,SGV004,2005,A,Bovine,99,1,1,,,,,
SGV040,2020,B,Bovine,SGV004,2005,A,Bovine,105,0,1,,,,,
SGV041,2020,B,Bovine,SGV004,2005,A,Bovine,103,0,1,,,,,
SGV042,2020,B,Bovine,SGV004,2005,A,Bovine,103,0,1,,,,,
SGV043,2020,B,Bovine,SGV004,2005,A,Bovine,106,0,1,,,,,
SGV044,2020,B,Bovine,SGV004,2005,A,Bovine,104,0,1,,,,,
SGV045,2020,B,Canine,SGV004,2005,A,Bovine,104,1,1,,,,,
SGV046,2020,B,Bovine,SGV004,2005,A,Bovine,104,0,1,,,,,
SGV047,2021,B,Bovine,SGV004,2005,A,Bovine,108,0,1,,,,,
SGV048,2021,B,Bovine,SGV004,2005,A,Bovine,104,0,1,,,,,
SGV049,2021,B,Human,SGV004,2005,A,Bovine,102,1,1,,,,,
SGV050,2021,B,Human,SGV004,2005,A,Bovine,102,1,1,,,,,
SGV051,2021,B,Bovine,SGV004,2005,A,Bovine,104,0,1,,,,,
SGV052,2021,B,Canine,SGV004,2005,A,Bovine,101,1,1,,,,,
SGV053,2021,B,Bovine,SGV004,2005,A,Bovine,102,0,1,,,,,
SGV054,2020,B,Canine,SGV004,2005,A,Bovine,100,1,1,,,,,
SGV055,2021,B,Bovine,SGV004,2005,A,Bovine,102,0,1,,,,,
SGV056,2021,B,Canine,SGV004,2005,A,Bovine,103,1,1,,,,,
SGV057,2021,B,Bovine,SGV004,2005,A,Bovine,101,0,1,,,,,
SGV058,2021,B,Canine,SGV004,2005,A,Bovine,101,1,1,,,,,
SGV059,2021,B,Bovine,SGV004,2005,A,Bovine,99,0,1,,,,,
SGV060,2021,B,Bovine,SGV004,2005,A,Bovine,108,0,1,,,,,
SGV061,2021,B,Canine,SGV004,2005,A,Bovine,108,1,1,,,,,
SGV062,2021,B,Bovine,SGV004,2005,A,Bovine,101,0,1,,,,,
SGV063,2021,B,Ovine,SGV004,2005,A,Bovine,103,1,1,,,,,
SGV064,2021,B,Bovine,SGV004,2005,A,Bovine,104,0,1,,,,,
SGV065,2021,B,Canine,SGV004,2005,A,Bovine,103,1,1,,,,,
SGV066,2022,B,Human,SGV004,2005,A,Bovine,104,1,1,,,,,
SGV067,2022,B,Bovine,SGV004,2005,A,Bovine,105,0,1,,,,,
SGV068,2022,B,Canine,SGV004,2005,A,Bovine,109,1,1,,,,,
SGV069,2022,B,Bovine,SGV004,2005,A,Bovine,105,0,1,,,,,
SGV070,2022,B,Canine,SGV004,2005,A,Bovine,102,1,1,,,,,
SGV071,2022,B,Human,SGV004,2005,A,Bovine,95,1,1,,,,,
SGV072,2022,B,Feline,SGV004,2005,A,Bovine,101,1,1,,,,,
SGV073,2022,B,Canine,SGV004,2005,A,Bovine,102,1,1,,,,,
SGV075,2022,B,Bovine,SGV004,2005,A,Bovine,100,0,1,,,,,
SGV077,2022,B,Canine,SGV004,2005,A,Bovine,101,1,1,,,,,
SGV078,2022,B,Bovine,SGV004,2005,A,Bovine,100,0,1,,,,,
SGV079,2022,B,Canine,SGV004,2005,A,Bovine,106,1,1,,,,,
SGV080,2022,B,Equine,SGV004,2005,A,Bovine,103,1,1,,,,,
SGV004,2005,A,Bovine,SGV021,2019,B,Bovine,100,0,1,,,,,
SGV021,2019,B,Bovine,SGV021,2019,B,Bovine,0,0,0,,,,,
SGV022,2019,B,Bovine,SGV021,2019,B,Bovine,12,0,0,,,,,
SGV023,2019,B,Bovine,SGV021,2019,B,Bovine,12,0,0,,,,,
SGV025,2019,B,Bovine,SGV021,2019,B,Bovine,0,0,0,,,,,
SGV026,2019,B,Bovine,SGV021,2019,B,Bovine,2,0,0,,,,,
SGV028,2019,B,Bovine,SGV021,2019,B,Bovine,12,0,0,,,,,
SGV029,2019,B,Bovine,SGV021,2019,B,Bovine,1,0,0,,,,,
SGV030,2020,B,Bovine,SGV021,2019,B,Bovine,5,0,0,,,,,
SGV031,2020,B,Bovine,SGV021,2019,B,Bovine,12,0,0,,,,,
SGV032,2020,B,Human,SGV021,2019,B,Bovine,14,1,0,,,,,
SGV033,2020,B,Human,SGV021,2019,B,Bovine,4,1,0,,,,,
SGV034,2020,B,Human,SGV021,2019,B,Bovine,15,1,0,,,,,
SGV035,2020,B,Feline,SGV021,2019,B,Bovine,2,1,0,,,,,
SGV036,2020,B,Bovine,SGV021,2019,B,Bovine,2,0,0,,,,,
SGV037,2020,B,Bovine,SGV021,2019,B,Bovine,3,0,0,,,,,
SGV038,2020,B,Bovine,SGV021,2019,B,Bovine,15,0,0,,,,,
SGV039,2020,B,Canine,SGV021,2019,B,Bovine,1,1,0,,,,,
SGV040,2020,B,Bovine,SGV021,2019,B,Bovine,15,0,0,,,,,
SGV041,2020,B,Bovine,SGV021,2019,B,Bovine,3,0,0,,,,,
SGV042,2020,B,Bovine,SGV021,2019,B,Bovine,13,0,0,,,,,
SGV043,2020,B,Bovine,SGV021,2019,B,Bovine,6,0,0,,,,,
SGV044,2020,B,Bovine,SGV021,2019,B,Bovine,4,0,0,,,,,
SGV045,2020,B,Canine,SGV021,2019,B,Bovine,16,1,0,,,,,
SGV046,2020,B,Bovine,SGV021,2019,B,Bovine,14,0,0,,,,,
SGV047,2021,B,Bovine,SGV021,2019,B,Bovine,8,0,0,,,,,
SGV048,2021,B,Bovine,SGV021,2019,B,Bovine,13,0,0,,,,,
SGV049,2021,B,Human,SGV021,2019,B,Bovine,14,1,0,,,,,
SGV050,2021,B,Human,SGV021,2019,B,Bovine,12,1,0,,,,,
SGV051,2021,B,Bovine,SGV021,2019,B,Bovine,17,0,0,,,,,
SGV052,2021,B,Canine,SGV021,2019,B,Bovine,11,1,0,,,,,
SGV053,2021,B,Bovine,SGV021,2019,B,Bovine,12,0,0,,,,,
